"FRQ_WTPR","GEO","WSTATUS","ISCED11","AGE","SEX","UNIT","TIME","Value","Flag and Footnotes"
"Total","Latvia","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","910.0",""
"Total","Lithuania","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","1 374.9",""
"Total","Luxembourg","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","288.7",""
"Total","Hungary","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","4 510.9",""
"Total","Malta","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","250.7",""
"Total","Netherlands","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","8 952.6",""
"Total","Austria","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","4 340.5",""
"Total","Poland","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","16 456.6",""
"Total","Portugal","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","4 855.1",""
"Total","Romania","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","8 813.7",""
"Total","Slovenia","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","988.6",""
"Total","Slovakia","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","2 567.9",""
"Total","Finland","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","2 549.6",""
"Total","Sweden","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","5 131.6",""
"Total","United Kingdom","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","32 537.2",""
"Total","Iceland","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","203.4",""
"Total","Norway","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","2 724.0",""
"Total","Switzerland","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","4 673.6",""
"Total","Turkey","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","28 138.9",""
"Always","European Union - 27 countries (from 2020)","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","20 992.3",""
"Always","European Union - 28 countries (2013-2020)","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","30 066.1",""
"Always","Euro area - 19 countries  (from 2015)","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","16 650.5",""
"Always","Belgium","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","770.2",""
"Always","Bulgaria","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","298.8",""
"Always","Czechia","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","389.6",""
"Always","Denmark","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","271.9",""
"Always","Germany (until 1990 former territory of the FRG)","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","6 235.4",""
"Always","Estonia","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","39.3",""
"Always","Ireland","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","303.4",""
"Always","Greece","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","515.9",""
"Always","Spain","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","1 878.5",""
"Always","France","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","2 281.3",""
"Always","Croatia","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","95.2",""
"Always","Italy","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","2 113.3",""
"Always","Cyprus","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","51.1",""
"Always","Latvia","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","49.1",""
"Always","Lithuania","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","91.4",""
"Always","Luxembourg","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","25.1",""
"Always","Hungary","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","433.7",""
"Always","Malta","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","52.3",""
"Always","Netherlands","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","680.5",""
"Always","Austria","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","546.1",""
"Always","Poland","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","1 903.5",""
"Always","Portugal","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","571.6",""
"Always","Romania","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","522.1",""
"Always","Slovenia","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","145.2",""
"Always","Slovakia","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","109.8",""
"Always","Finland","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","191.3",""
"Always","Sweden","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","426.9",""
"Always","United Kingdom","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","9 073.8",""
"Always","Iceland","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","18.7",""
"Always","Norway","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","195.7",""
"Always","Switzerland","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","223.2",""
"Always","Turkey","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","1 638.5",""
"Often or always","European Union - 27 countries (from 2020)","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","69 140.5",""
"Often or always","European Union - 28 countries (2013-2020)","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","86 141.6",""
"Often or always","Euro area - 19 countries  (from 2015)","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","51 645.1",""
"Often or always","Belgium","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","2 077.2",""
"Often or always","Bulgaria","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","1 263.1",""
"Often or always","Czechia","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","2 412.9",""
"Often or always","Denmark","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","1 051.3",""
"Often or always","Germany (until 1990 former territory of the FRG)","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","17 473.4",""
"Often or always","Estonia","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","161.4",""
"Often or always","Ireland","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","700.2",""
"Often or always","Greece","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","1 891.7",""
"Often or always","Spain","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","4 811.5",""
"Often or always","France","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","8 018.7",""
"Often or always","Croatia","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","440.0",""
"Often or always","Italy","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","7 847.2",""
"Often or always","Cyprus","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","176.4",""
"Often or always","Latvia","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","278.6",""
"Often or always","Lithuania","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","382.5",""
"Often or always","Luxembourg","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","92.0",""
"Often or always","Hungary","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","1 772.7",""
"Often or always","Malta","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","115.4",""
"Often or always","Netherlands","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","2 331.3",""
"Often or always","Austria","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","1 762.6",""
"Often or always","Poland","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","6 241.5",""
"Often or always","Portugal","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","1 412.7",""
"Often or always","Romania","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","2 577.1",""
"Often or always","Slovenia","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","376.4",""
"Often or always","Slovakia","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","714.3",""
"Often or always","Finland","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","1 021.7",""
"Often or always","Sweden","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","1 736.8",""
"Often or always","United Kingdom","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","17 001.1",""
"Often or always","Iceland","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","67.5",""
"Often or always","Norway","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","852.9",""
"Often or always","Switzerland","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","996.5",""
"Often or always","Turkey","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","5 081.1",""
"Often","European Union - 27 countries (from 2020)","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","48 148.2",""
"Often","European Union - 28 countries (2013-2020)","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","56 075.5",""
"Often","Euro area - 19 countries  (from 2015)","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","34 994.6",""
"Often","Belgium","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","1 307.0",""
"Often","Bulgaria","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","964.3",""
"Often","Czechia","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","2 023.3",""
"Often","Denmark","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","779.4",""
"Often","Germany (until 1990 former territory of the FRG)","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","11 238.0",""
"Often","Estonia","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","122.2",""
"Often","Ireland","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","396.8",""
"Often","Greece","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","1 375.8",""
"Often","Spain","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","2 933.0",""
"Often","France","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","5 737.4",""
"Often","Croatia","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","344.9",""
"Often","Italy","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","5 733.9",""
"Often","Cyprus","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","125.3",""
"Often","Latvia","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","229.5",""
"Often","Lithuania","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","291.1",""
"Often","Luxembourg","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","66.9",""
"Often","Hungary","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","1 338.9",""
"Often","Malta","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","63.1",""
"Often","Netherlands","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","1 650.9",""
"Often","Austria","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","1 216.5",""
"Often","Poland","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","4 337.9",""
"Often","Portugal","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","841.2",""
"Often","Romania","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","2 054.9",""
"Often","Slovenia","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","231.2",""
"Often","Slovakia","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","604.5",""
"Often","Finland","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","830.4",""
"Often","Sweden","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","1 309.9",""
"Often","United Kingdom","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","7 927.2",""
"Often","Iceland","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","48.8",""
"Often","Norway","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","657.2",""
"Often","Switzerland","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","773.2",""
"Often","Turkey","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","3 442.7",""
"Sometimes","European Union - 27 countries (from 2020)","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","79 603.5",""
"Sometimes","European Union - 28 countries (2013-2020)","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","88 818.9",""
"Sometimes","Euro area - 19 countries  (from 2015)","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","56 767.4",""
"Sometimes","Belgium","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","1 733.8",""
"Sometimes","Bulgaria","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","1 695.6",""
"Sometimes","Czechia","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","2 327.7",""
"Sometimes","Denmark","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","1 202.4",""
"Sometimes","Germany (until 1990 former territory of the FRG)","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","14 160.1",""
"Sometimes","Estonia","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","308.9",""
"Sometimes","Ireland","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","781.7",""
"Sometimes","Greece","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","1 497.8",""
"Sometimes","Spain","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","6 835.3",""
"Sometimes","France","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","9 093.8",""
"Sometimes","Croatia","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","812.8",""
"Sometimes","Italy","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","10 541.5",""
"Sometimes","Cyprus","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","184.5",""
"Sometimes","Latvia","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","477.3",""
"Sometimes","Lithuania","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","763.3",""
"Sometimes","Luxembourg","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","98.7",""
"Sometimes","Hungary","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","1 842.9",""
"Sometimes","Malta","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","72.2",""
"Sometimes","Netherlands","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","3 543.7",""
"Sometimes","Austria","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","1 795.9",""
"Sometimes","Poland","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","7 502.1",""
"Sometimes","Portugal","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","1 845.9",""
"Sometimes","Romania","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","4 842.2",""
"Sometimes","Slovenia","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","368.9",""
"Sometimes","Slovakia","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","1 353.0",""
"Sometimes","Finland","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","1 311.0",""
"Sometimes","Sweden","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","2 610.4",""
"Sometimes","United Kingdom","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","9 215.4",""
"Sometimes","Iceland","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","79.5",""
"Sometimes","Norway","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","1 251.1",""
"Sometimes","Switzerland","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","1 937.3",""
"Sometimes","Turkey","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","6 632.8",""
"Never or sometimes","European Union - 27 countries (from 2020)","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","122 120.6",""
"Never or sometimes","European Union - 28 countries (2013-2020)","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","136 752.5",""
"Never or sometimes","Euro area - 19 countries  (from 2015)","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","91 934.7",""
"Never or sometimes","Belgium","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","2 732.4",""
"Never or sometimes","Bulgaria","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","1 950.6",""
"Never or sometimes","Czechia","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","2 837.1",""
"Never or sometimes","Denmark","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","1 760.2",""
"Never or sometimes","Germany (until 1990 former territory of the FRG)","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","19 323.9",""
"Never or sometimes","Estonia","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","510.6",""
"Never or sometimes","Ireland","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","1 272.9",""
"Never or sometimes","Greece","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","1 893.7",""
"Never or sometimes","Spain","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","14 198.8",""
"Never or sometimes","France","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","18 625.9",""
"Never or sometimes","Croatia","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","1 195.0",""
"Never or sometimes","Italy","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","15 060.9",""
"Never or sometimes","Cyprus","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","239.4",""
"Never or sometimes","Latvia","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","618.9",""
"Never or sometimes","Lithuania","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","992.4",""
"Never or sometimes","Luxembourg","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","136.2",""
"Never or sometimes","Hungary","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","2 621.4",""
"Never or sometimes","Malta","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","135.3",""
"Never or sometimes","Netherlands","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","6 524.6",""
"Never or sometimes","Austria","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","2 578.0",""
"Never or sometimes","Poland","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","10 215.1",""
"Never or sometimes","Portugal","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","3 160.1",""
"Never or sometimes","Romania","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","6 236.7",""
"Never or sometimes","Slovenia","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","612.3",""
"Never or sometimes","Slovakia","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","1 814.2",""
"Never or sometimes","Finland","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","1 504.4",""
"Never or sometimes","Sweden","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","3 369.8",""
"Never or sometimes","United Kingdom","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","14 631.9",""
"Never or sometimes","Iceland","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","117.7",""
"Never or sometimes","Norway","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","1 829.3",""
"Never or sometimes","Switzerland","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","3 605.5",""
"Never or sometimes","Turkey","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","23 057.8",""
"Never","European Union - 27 countries (from 2020)","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","42 517.1",""
"Never","European Union - 28 countries (2013-2020)","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","47 933.6",""
"Never","Euro area - 19 countries  (from 2015)","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","35 167.3",""
"Never","Belgium","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","998.6",""
"Never","Bulgaria","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","255.0",""
"Never","Czechia","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","509.4",""
"Never","Denmark","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","557.8",""
"Never","Germany (until 1990 former territory of the FRG)","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","5 163.8",""
"Never","Estonia","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","201.8",""
"Never","Ireland","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","491.3",""
"Never","Greece","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","395.9",""
"Never","Spain","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","7 363.4",""
"Never","France","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","9 532.1",""
"Never","Croatia","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","382.2",""
"Never","Italy","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","4 519.3",""
"Never","Cyprus","Employed persons","All ISCED 2011 levels ","From 15 to 74 years","Total","Thousand persons","2019","54.9",""
