freq,c_resid,unit,nace_r2,geo\TIME_PERIOD	2015-01 	2015-02 	2015-03 	2015-04 	2015-05 	2015-06 	2015-07 	2015-08 	2015-09 	2015-10 	2015-11 	2015-12 	2016-01 	2016-02 	2016-03 	2016-04 	2016-05 	2016-06 	2016-07 	2016-08 	2016-09 	2016-10 	2016-11 	2016-12 	2017-01 	2017-02 	2017-03 	2017-04 	2017-05 	2017-06 	2017-07 	2017-08 	2017-09 	2017-10 	2017-11 	2017-12 	2018-01 	2018-02 	2018-03 	2018-04 	2018-05 	2018-06 	2018-07 	2018-08 	2018-09 	2018-10 	2018-11 	2018-12 	2019-01 	2019-02 	2019-03 	2019-04 	2019-05 	2019-06 	2019-07 	2019-08 	2019-09 	2019-10 	2019-11 	2019-12 	2020-01 	2020-02 	2020-03 	2020-04 	2020-05 	2020-06 	2020-07 	2020-08 	2020-09 	2020-10 
M,FOR,NR,I551-I553,EE	202095 	187554 	215926 	265637 	347447 	395476 	563184 	456378 	308947 	314425 	250511 	262262 	205485 	187251 	238562 	280408 	367586 	423316 	601036 	499625 	330138 	332725 	259151 	289298 	215205 	219267 	241054 	: c	374141 	446402 	600770 	500186 	351144 	329131 	271384 	295986 	242580 	226521 	260305 	302152 	385437 	447904 	582876 	502608 	350456 	320076 	256807 	296830 	239453 	208196 	246242 	306105 	405898 	479609 	634178 	540613 	368178 	346141 	288615 	312409 	258925 	234320 	94051 	9044 	16967 	83271 	259405 	214030 	89233 	: 
M,FOR,NR,I551-I553,EL	419212 	407658 	635212 	2393512 	8781817 	14451765 	18750394 	19250326 	13709117 	5342037 	607560 	415453 	433296 	460232 	785024 	2415557 	8891806 	14253233 	18786440 	19573334 	14606034 	6530925 	691975 	484994 	499202 	501146 	762453 	2998811 	9956762 	16537075 	20515826 	20931668 	15694756 	7328982 	799669 	508071 	504354 	551464 	1020670 	3206774 	11218260 	17358419 	21548565 	21970981 	16355357 	7496568 	828462 	511367 	565727 	639331 	1098648 	4685667 	12563911 	19956264 	24838001 	25817731 	19341782 	8785296 	1030902 	648130 	467586 e	459711 e	260047 e	10522 	12013 e	363058 e	4939566 e	8861357 e	6655467 e	: 
M,FOR,NR,I551-I553,ES	12389380 	12716749 	15250246 	17924827 	24281997 	27855239 	36464075 	39185336 	31102714 	25225724 	14111663 	12687295 	13338923 	14340779 	17503262 	19811269 	27358084 	31243977 	39384478 	41620009 	33747373 	27520384 	15018684 	13669208 	14482911 	14690784 	17476424 	22245789 	28743894 	33655447 	40814539 	42192307 	34766597 	28140226 	15248817 	13418499 	14420408 	14764556 	17898354 	20905931 	29007198 	32700496 	39358389 	40704595 	33990246 	28144590 	15333407 	13794462 	14309281 	14470122 	17825853 	21616305 	27967063 	32951795 	38855835 	40609737 	33675812 	27512907 	15242729 	14054692 	14578946 	15094824 	7299713 	0 	158810 	596106 	6485196 	7444823 	2812884 	: 
M,FOR,NR,I551-I553,EU27_2007	53315185 	58164226 	64163738 	79074970 	109075367 	133996802 	186582329 	193078862 	131867550 	96730944 	51022521 	57206482 	56215716 	61975256 	75421686 	76939512 	115474201 	136359754 	193289111 	198219282 	139677842 	99300137 	54168001 	60442142 	60989714 	63460518 	74449282 	98285262 	114563428 	149678792 	208337265 	205625526 	146728473 	103274873 	58621922 	61878989 	68586670 	68315100 	80100694 	90857071 	127462199 	150199754 	208289858 	207770843 	145698297 	110187219 	64225379 	64664863 	63083526 	72996537 	81386099 	103029283 	116193673 	161834125 	232580140 	212552389 	151342767 	112878654 	62193918 	70099034 	71343293 e	70444921 e	27913180 e	1976588 e	3877334 e	16542337 e	65510941 e	93813693 e	57586796 e	: 
M,FOR,NR,I551-I553,EU27_2020	48778053 	53266878 	58553386 	71031668 	100869436 	126924346 	190095194 	196787070 	130296625 	86786822 	45179628 	47815647 	50307415 	56807991 	68771587 	69385097 	107528884 	129557332 	198045162 	204523098 	137197017 	92147726 	48521522 	51025285 	54625585 	58473653 	65985290 	87501593 	106968008 	149506517 	209479592 	213199878 	144317120 	97143683 	51926504 	54267703 	57644438 	62172376 	74143458 	83339808 	120702214 	146992939 	213874840 	214379506 	145404950 	99711650 	53852268 	56893375 	57812266 	61245587 	71708007 	92776499 	114352113 	160497149 	217479509 	219864872 	149427445 	103294486 	55082645 	59449664 	60493255 e	64352808 e	24244209 e	2002589 e	3978487 e	19673712 e	78851695 e	95759377 e	53389750 e	: 
M,FOR,NR,I551-I553,EU28	53501166 	58368371 	64618213 	80531164 	112630279 	142074845 	205684059 	215300206 	140066225 	98374602 	51318000 	57494856 	56422486 	62229677 	76040569 	78324862 	119319074 	144704725 	214853722 	222165466 	148855942 	101252389 	54559313 	60818997 	61246470 	63749256 	74971581 	100495002 	118270669 	161019222 	232338580 	230941783 	156186850 	105486366 	59059299 	62305770 	68908250 	68624936 	80871501 	92995713 	132778783 	161266056 	232880168 	233187227 	155404321 	112669465 	64750620 	65160780 	63379551 	73353155 	82058980 	105611522 	120623778 	174036886 	256645795 	238449609 	161201063 	115571745 	62741378 	70620834 	71664425 e	: 	: 	: 	: 	: 	: 	: 	: 	: 
M,FOR,NR,I551-I553,FI	489325 	395112 	412833 	289087 	388333 	521743 	753323 	657432 	406101 	312565 	329821 	554675 	520236 	461184 	424595 	298914 	372961 	537058 	718323 	678693 	423199 	316474 	363786 	655852 	626201 	561852 	533347 	357457 	429544 	619241 	815806 	773470 	488579 	367876 	432598 	736863 	671383 	598934 	574255 	368628 	409571 	586231 	800097 	754713 	464028 	387386 	437994 	789369 	677580 	603628 	567119 	356024 	465346 	608465 	794254 	785651 	516211 	435921 	456766 	789032 	710656 	613087 	266554 	16953 	20041 	44314 	140756 	144460 	86991 	79685 
M,FOR,NR,I551-I553,FR	5627265 e	5489984 	6450656 	7989843 	11213264 	14638545 	25967564 	25087933 	13221345 	8683971 	4107830 	4880170 	4987056 	4952493 	7106013 	6222677 	10437205 	13471481 	23529807 	24307569 	12356735 	6819986 	4371334 	5335519 	5555614 	5306006 	6646883 	9969281 	9696643 	14684808 	24381857 	25683092 	13297064 	7344175 	4839014 	6146439 	5955765 	6011214 	7744307 	9302714 	11700281 	14649271 	25894043 	26468526 	13804520 	7851612 	5255006 	6084122 	5783788 	5432951 	6952241 	10226604 	10287032 	15659075 	24919232 	25331606 	13440847 	7227489 	4856213 	5850892 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M,FOR,NR,I551-I553,HR	185981 	204145 	454475 	1456194 	3554912 	8078043 	19101730 	22221344 	8198675 	1643658 	295479 	288374 	206770 	254421 	618883 	1385350 	3844873 	8344971 	21564611 	23946184 	9178100 	1952252 	391312 	376855 	256756 	288738 	522299 	2209740 	3707241 	11340430 	24001315 	25316257 	9458377 	2211493 	437377 	426781 	321580 	309836 	770807 	2138642 	5316584 	11066302 	24590310 	25416384 	9706024 	2482246 	525241 	495917 	296025 	356618 	672881 	2582239 	4430105 	12202761 	24065655 	25897220 	9858296 	2693091 	547460 	521800 	321132 	395594 	183666 	26001 	101153 	3131375 	13340946 	14524987 	2716605 	: 
M,FOR,NR,I551-I553,HU	608854 	595338 	797080 	1019418 	1019418 	1236806 	1754581 	1915848 	1289185 	980335 	762340 	734080 	640840 	662139 	875396 	1014849 	1249721 	1227282 	1837238 	1974967 	1351414 	1182209 	894823 	891167 	737098 	727231 	949302 	1240429 	1340616 	1425443 	1896121 	2052603 	1462551 	1193752 	973798 	943281 	783602 	780512 	1040945 	1213372 	1437878 	1412604 	1992061 	2042633 	1459929 	1216544 	1000912 	959457 	786281 	797838 	992267 	1263653 	1421404 	1468225 	1905000 	2114152 	1488769 	1343575 	1088701 	1082708 	911088 	892727 	316368 	16534 	22229 	100525 	478231 	606756 	129974 	: 
M,FOR,NR,I551-I553,IE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	743532 u	726729 u	1145978 u	1322318 u	1782168 u	2039181 u	2293883 u	2399102 u	2332957 u	1387030 u	999065 u	745257 u	745011 u	920276 u	1226439 u	1298202 u	1736760 u	1771029 u	1997126 u	2149351 u	1716909 u	1423598 u	974654 u	800100 u	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 
M,FOR,NR,I551-I553,IS	202805 	260603 	285862 	239086 	372639 	733570 	1183323 	1152180 	471868 	304266 	309457 	216106 	240755 	338215 	394784 	310527 	438648 	851860 	1247209 	1243537 	643682 	447503 	374777 	364705 	371727 	437459 	482662 	420906 	501520 	861748 	1145645 	1081397 	682297 	513461 	398221 	380293 	374302 	475011 	520512 	372280 	529154 	815953 	1084691 	1100515 	779186 	578647 	411157 	405399 	358706 	469201 	501786 	369814 	504159 	813859 	1077815 	1121482 	760356 	574121 	445562 	397063 	384787 	435396 	245667 	6611 	9923 	36375 	159227 	213966 	31820 	: 
M,FOR,NR,I551-I553,IT	6610815 	7975939 	8985651 	12165231 	18664637 	22602895 	33110282 	32603229 	25195879 	14072968 	5478589 	5158911 	6513897 	8361591 	10824450 	11174519 	20297945 	21863292 	34883553 	33992430 	25601047 	14711259 	5635924 	5561907 	6918614 	8440969 	9509638 	14832860 	17699077 	27216376 	36688167 	34849540 	26587843 	15825069 	6165966 	5924667 	7510895 	9199609 	11582920 	13740228 	22525409 	25124590 	37172258 	34202056 	26653203 	16059287 	6297548 	6442543 	7714490 	9104567 	10676286 	15434020 	19119127 	29546392 	36894448 	34216463 	27364221 	17262656 	6474246 	6855768 	7967758 	8814309 	1173322 	267459 	363825 	2052599 	10289764 	15501368 	13304707 	: 
M,FOR,NR,I551-I553,LI	11307 	12912 	10558 	7708 	7154 	8669 	10958 	12546 	9641 	7354 	5145 	6513 	9281 	14290 	14130 	7406 	8721 	11229 	14067 	15856 	11209 	8557 	5840 	7161 	10698 	14950 	12364 	10017 	9980 	12656 	15841 	18355 	13427 	11230 	7194 	10180 	14164 	16913 	13240 	8959 	10824 	14688 	17777 	21118 	14827 	11474 	7754 	9109 	12899 	15039 	14285 	9413 	11299 	16494 	20036 	22570 	16503 	14992 	8325 	12240 	15152 	19133 	6697 	703 	2843 	7785 	18612 	18236 	13696 	: 
M,FOR,NR,I551-I553,LT	173949 	139904 	178008 	204023 	297002 	320626 	398881 	411036 	286774 	236198 	186089 	178237 	182504 	156530 	202022 	224789 	325662 	352621 	431916 	447381 	317744 	247760 	197953 	186538 	198225 	165976 	211366 	251290 	339244 	371436 	427031 	440975 	341152 	281629 	239356 	229225 	210532 	173052 	231784 	273650 	370624 	394737 	486373 	497076 	348812 	281629 	239356 	229225 	219959 	184373 	235319 	284266 	414783 	445880 	550978 	567785 	399698 	313764 	269014 	256707 	198589 	172533 	84621 	15217 	33272 	75434 	186978 	162929 	74705 	: 
M,FOR,NR,I551-I553,LU	112155 	119025 	145700 	192096 	302531 	318472 	436233 	377667 	225542 	173225 	132297 	120790 	116490 	120366 	147633 	184047 	299228 	315466 	431795 	379402 	211316 	181361 	132810 	117787 	111486 	111716 	142273 	177689 	273700 	308116 	421990 	378586 	215701 	180585 	133583 	118164 	120179 	110289 	140806 	171074 	271959 	305725 	414403 	390509 	203389 	187788 	135915 	122520 	118614 	106566 	138179 	167421 	266819 	304961 	405961 	380880 	197847 	174805 	132494 	110173 	119014 	107077 	60611 	5574 	31234 	99549 	219020 	250874 	108953 	: 
M,FOR,NR,I551-I553,LV	152309 	142825 	166576 	205905 	274812 	299830 	402900 	396571 	254216 	221345 	175366 	181230 	162539 	148199 	186168 	213210 	271071 	331432 	429180 	418641 	261968 	239335 	183690 	199099 	180270 	164578 	185137 	250589 	302071 	376193 	490622 	457075 	313796 	251453 	207171 	227572 	207122 	175381 	223279 	271970 	339330 	406426 	527216 	514135 	324760 	282472 	229772 	241103 	203416 	181593 	231857 	290737 	352297 	416500 	536444 	520143 	328912 	284966 	244307 	260131 	238051 	204657 	99919 	22199 	28604 	108873 	308989 	295739 	74801 	: 
M,FOR,NR,I551-I553,ME	55558 	57988 	68726 	124241 	388433 	1061383 	3083939 	3758518 	1366028 	191347 	86204 	65006 	65722 	67162 	77027 	137074 	416699 	1122967 	3006367 	3801146 	1429785 	234255 	92178 	78093 	27681 b	36484 b	47411 b	130350 b	250752 b	540454 b	796208 b	861626 b	511373 b	161270 b	49144 b	46247 b	36915 	41443 	54907 	149094 	317820 	571251 	820327 	899013 	565328 	204426 	59218 	44115 	39926 	56930 	76255 	191355 	359851 	601538 	863249 	962168 	635672 	276320 	80505 	56810 	45975 	64949 	: 	: 	: 	: 	: 	: 	: 	: 
M,FOR,NR,I551-I553,MK	34655 	38075 	45344 	64346 	110030 	111151 	140890 	170524 	130220 	84479 	49149 	42080 	39948 	43577 	53612 	69807 	110530 	110946 	152816 	149676 	133014 	90179 	49344 	47468 	46129 	51421 	55410 	84672 	121334 	131032 	131032 	213156 	163237 	103862 	66835 	60124 	60511 	53435 	71010 	105251 	136160 	169413 	230485 	227913 	176144 	113525 	71940 	68195 	55770 	53063 	72931 	105491 	139236 	186187 	232036 	246245 	196969 	129150 	83076 	73513 	62122 	55857 	22151 	2332 	2744 	6374 	14823 	21531 	17954 	: 
M,FOR,NR,I551-I553,MT	375608 	429921 	538461 	696310 	801331 	868888 	1058550 	1105694 	887751 	847619 	534195 	397723 	389718 	451402 	610423 	713791 	803971 	849758 	999985 	1039290 	861946 	857255 	587108 	457792 	425477 	488444 	623778 	796529 	826637 	876483 	1074608 	1089483 	926524 	916307 	645113 	494778 	477661 	540020 	714318 	833215 	939070 	949761 	1110152 	1127219 	944296 	924147 	636201 	489096 	436423 	492729 	648363 	863557 	878535 	928988 	1080578 	1107982 	923343 	920222 	641185 	514427 	459921 	529247 	228974 	11460 	11394 	11104 	220408 	407440 	201854 	: 
M,FOR,NR,I551-I553,NL	1624265 	1680110 	2058163 	3976856 	3558778 	3465280 	5059154 	5311274 	3168615 	3356803 	2157712 	1756638 	1864351 	1929056 	2813210 	3424961 	4017839 	3295372 	5432467 	5398142 	3485487 	3777446 	2262035 	1923130 	2043689 	2013804 	2480906 	4924467 	3806570 	4531492 	5870821 	5779910 	3837422 	3971312 	2726472 	2182117 	2216983 	2213354 	3163081 	4506304 	4633187 	4390167 	6253764 	6230826 	4048432 	4229484 	2838551 	2277331 	2411996 	2311346 	3170024 	5801085 	3968328 	5445569 	6793098 	6940278 	4379771 	4810793 	3190674 	2527320 	2616524 	2603100 	1203411 	118267 	406304 	1819963 	4631643 	3938567 	2432473 	: 
M,FOR,NR,I551-I553,NO	420946 	528780 	492011 	418153 	643364 	1275517 	1792358 	1537530 	631592 	401380 	303460 	360394 	423103 	608216 	571906 	443471 	658604 	1417634 	2048438 	1787705 	700369 	408583 	299248 	359533 	408456 	552081 	526924 	436209 	698801 	1476430 	2132043 	1857532 	750552 	401190 	315638 	389759 	452639 	577448 	560324 	449163 	730475 	1498049 	2177784 	1881165 	715474 	409298 	305534 	380830 	451319 	558165 	571081 	474671 	751255 	1549184 	2333013 	2002161 	767914 	464010 	336768 	441940 	507041 	639876 	282066 	53710 	70618 	127957 	480916 	610411 	204795 	: 
M,FOR,NR,I551-I553,PL	666387 	699791 	948780 	1026422 	1310908 	1350803 	1648634 	1691207 	1410338 	1272260 	902080 	830047 	793803 	809059 	1082676 	1162426 	1411516 	1519582 	1923597 	1891596 	1602073 	1401005 	1020120 	961772 	838952 	863482 	1100166 	1261882 	1447273 	1622510 	2029532 	2036735 	1721724 	1515072 	1148682 	1119205 	964037 	990753 	1273285 	1321726 	1543332 	1651020 	2095134 	2067913 	1759525 	1618258 	1256234 	1201434 	974107 	1003585 	1306869 	1430554 	1648445 	1775456 	2260446 	2210863 	1818829 	1661350 	1305583 	1287489 	1077819 	1095477 	473360 	83695 	101715 	258115 	819304 	961003 	822527 	: 
M,FOR,NR,I551-I553,PT	1489417 	1731884 	2390577 	3184806 	3903471 	4010082 	4890694 	5502532 	4519376 	3816192 	1945593 	1577587 	1637211 	2026309 	2939749 	3371302 	4382852 	4501857 	5448132 	6097393 	4993485 	4394191 	2352154 	1814660 	1948302 	2256639 	3073801 	4294585 	4821112 	5096755 	5864160 	6510685 	5495400 	4846897 	2638687 	2037940 	2085357 	2430260 	3447701 	4085235 	5024647 	5019663 	5939316 	6548318 	5468232 	4878176 	2769278 	2156141 	2206645 	2473749 	3405793 	4474457 	5139742 	5216934 	6067752 	6706219 	5646606 	5021387 	2872603 	2360367 	2330795 	2702576 	1460677 	: c	: c	195175 	996452 	1903557 	1660177 	: 
M,FOR,NR,I551-I553,RO	221840 	211967 	277222 	313113 	425874 	486255 	522403 	533075 	482704 	404054 	314511 	264582 	267046 	256657 	312396 	355383 	466709 	470783 	553512 	594552 	512105 	436365 	308824 	277721 	267106 	258844 	332099 	398416 	481543 	543255 	628485 	668521 	558692 	465487 	352501 	313035 	298801 	278669 	352419 	395606 	520685 	559654 	629286 	629908 	545167 	450339 	344831 	299547 	284778 	270006 	338045 	397615 	532736 	551444 	598122 	607159 	536204 	474122 	358614 	318119 	276321 	261297 	70468 	5306 	3976 	27292 	66198 	70013 	72611 	: 
M,FOR,NR,I551-I553,RS	142218 	126076 	154195 	179500 	227151 	220862 	284630 	311896 	228984 	205559 	143231 	177763 	186494 	158673 	182456 	191801 	241574 	236184 	308791 	338706 	255792 	234084 	187958 	213015 	184019 	157748 	216818 	245647 	278758 	299658 	375991 	397330 	298851 	281496 	201729 	235869 	217433 	185765 	230490 	266173 	336524 	340748 	434402 	496156 	341356 	310624 	236627 	260489 	230363 	198780 	257221 	284916 	336708 	381947 	456974 	489899 	397602 	371796 	287971 	314007 	296560 	235744 	107414 	11932 	18754 	58252 	67187 	80160 	94089 	: 
M,FOR,NR,I551-I553,SE	558544 	658372 	650530 	680997 	975367 	1522885 	3219142 	2199365 	937918 	786813 	635773 	615303 	574893 	692878 	727450 	693353 	1056578 	1566227 	3342917 	2291976 	957534 	785886 	634712 	672861 	618141 	708712 	697791 	803977 	1075499 	1658656 	3378206 	2362939 	1055430 	808506 	693142 	711853 	654047 	796295 	885366 	804038 	1228812 	1723864 	3600429 	2408429 	1047762 	898556 	741135 	723250 	705479 	818114 	821416 	884662 	1182845 	1876755 	3829292 	2493057 	1067533 	874449 	713140 	713492 	670502 	763010 	334593 	127417 	214621 	271702 	537668 	480742 	369047 	: 
M,FOR,NR,I551-I553,SI	378070 	309345 	356098 	453665 	627705 	734580 	1249262 	1487266 	733699 	467994 	295683 	375202 	420344 	344629 	461751 	427883 	662888 	759785 	1393930 	1641856 	869571 	600526 	338447 	405327 	467464 	389535 	451356 	636535 	698965 	996551 	1638443 	1945405 	972454 	617910 	384466 	473763 	482339 	398997 	509967 	665315 	897516 	1094601 	1918259 	2230048 	1166685 	746025 	480054 	569219 	491826 	434347 	496308 	792839 	833138 	1233241 	1990264 	2281692 	1123974 	738437 	441782 	502294 	496583 	450611 	132865 	11554 	14410 	200070 	667170 	814481 	: 	: 
M,FOR,NR,I551-I553,SK	262817 	295581 	268720 	262762 	351434 	398833 	554915 	630626 	455723 	364579 	270949 	265929 	323952 	354822 	319533 	314858 	394839 	440259 	704138 	704941 	496113 	399680 	300553 	284526 	326202 	363109 	343868 	362198 	416689 	495209 	747897 	747903 	510190 	396240 	298284 	309156 	355029 	391360 	359296 	374974 	450641 	512370 	768445 	781424 	511809 	410120 	315019 	328395 	359490 	413604 	371886 	393385 	546312 	566337 	800659 	845365 	558270 	473237 	358557 	360564 	414575 	431647 	144446 	3787 	7561 	75943 	391920 	441468 	215346 	: 
