Username,Vidname,Hours,Minutes,Seconds,Total
Dominika,The Kissing Booth 2,3,29,30,12570
Dominika,Tyler Rake,3,26,58,12418
Dominika,Przygody Merlina,3,18,28,11908
Dominika,Violet Evergarden,3,15,13,11713
Dominika,The Old Guard,3,4,34,11074
Dominika,Randki od święta,3,3,31,11011
Dominika,Outlander,3,2,55,10975
Dominika,IO,2,58,52,10732
Dominika,Freud,2,58,27,10707
Dominika,Historia małżeńska,2,50,7,10207
Dominika,"Zabawa, zabawa",2,49,40,10180
Dominika,Harry Potter i Czara Ognia,2,48,32,10112
Dominika,Cialo,2,48,23,10103
Dominika,Charlotte,2,47,22,10042
Dominika,To nie jest OK,2,46,1,9961
Dominika,Frontier,2,45,58,9958
Dominika,The Order,2,45,9,9909
Dominika,The Kissing Booth,2,42,28,9748
Dominika,Notatnik śmierci,2,41,46,9706
Dominika,Irlandczyk,2,39,8,9548
Dominika,Palmy w śniegu,2,37,59,9479
Dominika,Trzynaście powodów,2,36,15,9375
Dominika,Biohakerzy,2,35,34,9334
Dominika,Locke & Key,2,35,32,9332
Dominika,Czarny Księżyc,2,35,14,9314
Dominika,Bagienna cisza,2,35,4,9304
Dominika,Harry Potter i więzień Azkabanu,2,32,53,9173
Dominika,Park Jurajski,2,26,20,8780
Dominika,Bogdan Boner,2,24,33,8673
Dominika,Cheer,2,21,13,8473
Dominika,Anno Domini - Biblii ciąg dalszy,2,17,9,8229
Dominika,Harry Potter i Komnata Tajemnic,2,16,60,8220
Dominika,"Tamte dni, tamte noce",2,11,33,7893
Dominika,Zaginione miasto Z,2,11,24,7884
Dominika,Wszystkie jasne miejsca,2,11,21,7881
Dominika,Dylemat społeczny,2,11,6,7866
Dominika,Narodziny gwiazdy,2,10,58,7858
Dominika,Kler,2,10,55,7855
Dominika,Pandemia,2,6,58,7618
Dominika,Lejdis,2,6,55,7615
Dominika,Love Alarm,2,6,52,7612
Dominika,Another Life,2,6,33,7593
Dominika,Dary Anioła,2,6,15,7575
Dominika,Bezpieczna przystań,2,5,22,7522
Dominika,Incepcja,2,4,23,7463
Dominika,Jupiter,2,4,21,7461
Dominika,Raising Dion,2,3,60,7440
Dominika,Marvel,2,3,28,7408
Dominika,Pacific Rim,2,1,25,7285
Dominika,Teoria wszystkiego,1,59,36,7176
Dominika,Aż do kości,1,59,32,7172
Dominika,Karppi,1,58,40,7120
Dominika,Potrójna granica,1,58,18,7098
Dominika,Jurassic World,1,58,15,7095
Dominika,Nie otwieraj oczu,1,56,59,7019
Dominika,W imie...,1,55,53,6953
Dominika,Rodzina od zaraz,1,55,22,6922
Dominika,Czerwony pająk,1,54,55,6895
Dominika,Zabójczy rejs,1,54,40,6880
Dominika,Diablero,1,54,24,6864
Dominika,Wiktoria znaczy zwycięstwo,1,53,7,6787
Dominika,Sztuka kochania. Historia Michaliny Wisłockiej,1,52,28,6748
Dominika,Gra tajemnic,1,51,18,6678
Dominika,Zbaw nas ode złego,1,50,55,6655
Dominika,Bitwa,1,49,34,6574
Dominika,Do wszystkich chłopców,1,48,19,6499
Dominika,"Ptak, który zwiastował trzęsienie ziemi",1,48,8,6488
Dominika,W cieniu księżyca,1,48,3,6483
Dominika,Miłość pod jednym dachem,1,46,48,6408
Dominika,Jestem matką,1,46,42,6402
Dominika,The Meg,1,45,50,6350
Dominika,Arrow,1,45,11,6311
Dominika,Jak zostalem gangsterem. Historia prawdziwa,1,44,59,6299
Dominika,Mamma Mia! Here We Go Again,1,44,6,6246
Dominika,Seriously Single,1,42,3,6123
Dominika,Imagine,1,40,45,6045
Dominika,W lesie dziś nie zaśnie nikt,1,40,30,6030
Dominika,Więcej niż myślisz,1,40,24,6024
Dominika,Oblicze mroku,1,40,19,6019
Dominika,Zaginione dziewczyny,1,38,26,5906
Dominika,Lady Bird,1,38,20,5900
Dominika,Paradoks Cloverfield,1,38,6,5886
Dominika,Szczęściarz,1,37,40,5860
Dominika,Fantastyczne zwierzęta i jak je znaleźć,1,37,36,5856
Dominika,Ragnarok,1,37,32,5852
Dominika,Przypadek 39,1,37,13,5833
Dominika,Ostatnie wakacje,1,37,5,5825
Dominika,"Jaki ojciec, taka córka",1,36,49,5809
Dominika,Jak Wytresować Smoka,1,36,19,5779
Dominika,Cicha noc,1,36,11,5771
Dominika,Porady Na Zdrady,1,35,45,5745
Dominika,Hubie ratuje Halloween,1,34,49,5689
Dominika,Doom,1,33,23,5603
Dominika,Halo 4,1,33,1,5581
Dominika,Lara Croft,1,33,0,5580
Dominika,Tammy,1,32,53,5573
Dominika,Gorzkie wino,1,32,46,5566
Dominika,Star Trek,1,32,33,5553
Dominika,October Faction,1,32,3,5523
Dominika,The Titan,1,31,57,5517
Dominika,Tata kontra tata,1,31,41,5501
Dominika,Drapacz chmur,1,31,37,5497
Dominika,Ciekawy przypadek Benjamina Buttona,1,31,3,5463
Dominika,Double World,1,30,55,5455
Dominika,Piękne istoty,1,30,53,5453
Dominika,Artur ratuje Gwiazdkę,1,30,18,5418
Dominika,Harry Potter i Książę Półkrwi,1,30,6,5406
Dominika,Dirty Dancing,1,29,29,5369
Dominika,Kluseczka,1,29,17,5357
Dominika,Kto tam?,1,29,5,5345
Dominika,Enola Holmes,1,29,0,5340
Dominika,Po pierwsze przeżyć,1,28,50,5330
Dominika,Dziewczyna i chłopak - wszystko na opak,1,28,46,5326
Dominika,Dzień kobiet,1,28,12,5292
Dominika,Wybawiciel,1,27,14,5234
Dominika,#Alive,1,26,50,5210
Dominika,Rejs w nieznane,1,26,30,5190
Dominika,Revolt,1,26,15,5175
Dominika,Mustang z Dzikiej Doliny,1,26,14,5174
Dominika,Włamanie,1,26,12,5172
Dominika,Shrek Trzeci,1,26,9,5169
Dominika,Cisza,1,25,45,5145
Dominika,Karbala,1,25,16,5116
Dominika,Riverdale,1,24,9,5049
Dominika,Ostatni skok w historii USA,1,23,57,5037
Dominika,Cudowny chłopak,1,23,14,4994
Dominika,Power,1,23,9,4989
Dominika,Weselne przeznaczenie,1,21,27,4887
Dominika,Umysł w ogniu,1,20,43,4843
Dominika,Zwiastun,1,20,1,4801
Dominika,Polar,1,17,16,4636
Dominika,Legends of Tomorrow,1,17,4,4624
Dominika,Zoo,1,16,56,4616
Dominika,Black Lightning,1,15,34,4534
Dominika,Navy Seals kontra kosmici,1,13,7,4387
Dominika,Upalne święta,1,12,29,4349
Dominika,The Rain,1,12,22,4342
Dominika,My Awkward Sexual Adventure,1,11,10,4270
Dominika,Miecz Nieśmiertelnego,1,10,19,4219
Dominika,Miłość,1,10,1,4201
Dominika,Krwawy diament,1,9,37,4177
Dominika,Gniew tytanów,1,9,7,4147
Dominika,Proceder,1,8,51,4131
Dominika,Sezon 1 (zwiastun),1,5,48,3948
Dominika,Narcos,1,5,8,3908
Dominika,Apartament,1,5,2,3902
Dominika,Baby Driver,1,4,23,3863
Dominika,Wszyscy moi przyjaciele nie żyją,1,3,56,3836
Dominika,Porady różowej brygady,1,3,31,3811
Dominika,Otwarty związek,0,60,32,3632
Dominika,Fatamorgana,0,60,7,3607
Dominika,Pod słońcem Riccione,0,57,46,3466
Dominika,Ratched,0,57,19,3439
Dominika,Kod 8,0,54,8,3248
Dominika,Nagi instynkt,0,53,57,3237
Dominika,Podróżnicy,0,53,31,3211
Dominika,Vampires,0,52,18,3138
Dominika,Turysta,0,51,33,3093
Dominika,Psy,0,50,60,3060
Dominika,Świadectwo kości,0,50,13,3013
Dominika,Pierwsza noc oczyszczenia,0,49,27,2967
Dominika,Fantastyczne zwierzęta,0,48,8,2888
Dominika,Mgła,0,47,16,2836
Dominika,Magicy makijażu,0,46,45,2805
Dominika,Sword Art Online,0,46,44,2804
Dominika,"Do wszystkich chłopców, których kochałam",0,46,17,2777
Dominika,The Originals,0,44,27,2667
Dominika,BOŻE CIAŁO,0,44,14,2654
Dominika,Leśni złodzieje,0,44,6,2646
Dominika,Templariusze,0,43,54,2634
Dominika,The I-Land,0,42,20,2540
Dominika,A.X.L.,0,41,42,2502
Dominika,The Protector,0,41,31,2491
Dominika,Strzelec,0,41,28,2488
Dominika,"H2O, wystarczy kropla",0,41,26,2486
Dominika,Smerfy,0,41,4,2464
Dominika,Gra Geralda,0,39,30,2370
Dominika,Rebeka,0,38,39,2319
Dominika,Mała syrenka,0,38,35,2315
Dominika,Gejsza,0,38,5,2285
Dominika,Freaks,0,37,17,2237
Dominika,Równonoc,0,37,7,2227
Dominika,Aquaman,0,36,26,2186
Dominika,Biały Kieł,0,35,7,2107
Dominika,Harry Potter i Zakon Feniksa,0,34,25,2065
Dominika,Snowpiercer,0,32,10,1930
Dominika,Na krańcu świata,0,32,4,1924
Dominika,Znaki,0,31,36,1896
Dominika,Your lie in April,0,30,13,1813
Dominika,Dare Me,0,29,52,1792
Dominika,Uzależniona,0,29,49,1789
Dominika,Venom,0,29,34,1774
Dominika,Diabeł wcielony,0,29,31,1771
Dominika,Strażnicy marzeń,0,29,30,1770
Dominika,Kumpel terapeuta,0,27,39,1659
Dominika,Drogówka,0,27,34,1654
Dominika,Bright,0,26,37,1597
Dominika,Titans,0,26,15,1575
Dominika,MILF,0,26,5,1565
Dominika,Assassin's Creed,0,25,5,1505
Dominika,List do króla,0,24,35,1475
Dominika,Świat Winx,0,24,14,1454
Dominika,Angry Birds Toons,0,24,8,1448
Dominika,Tylko Ciebie chcę,0,23,30,1410
Dominika,Supergirl,0,22,49,1369
Dominika,Sięgając wysoko,0,22,33,1353
Dominika,Mako Mermaids,0,21,41,1301
Dominika,Kobieta-Kot,0,21,29,1289
Dominika,Telefonistki,0,20,55,1255
Dominika,DreamWorks przedstawia,0,20,25,1225
Dominika,Jak Pies z Kotem,0,19,54,1194
Dominika,Valeria,0,19,30,1170
Dominika,Easy,0,19,4,1144
Dominika,Monument,0,17,39,1059
Dominika,Spider-Man,0,17,30,1050
Dominika,Podłoga to lawa,0,17,9,1029
Dominika,Wieczna wiedźma,0,17,5,1025
Dominika,Król tygrysów,0,16,7,967
Dominika,You Get Me,0,16,3,963
Dominika,BLACKPINK,0,15,51,951
Dominika,Poczujcie rytm,0,15,35,935
Dominika,Sekretna obsesja,0,15,22,922
Dominika,Sezon 3 (zwiastun),0,14,58,898
Dominika,Córka boga,0,14,28,868
Dominika,The OA,0,14,23,863
Dominika,A Whisker Away,0,14,15,855
Dominika,Sezon 2 (zwiastun),0,14,3,843
Dominika,Piąta fala,0,13,40,820
Dominika,Mały Książę,0,13,18,798
Dominika,Timeless,0,13,17,797
Dominika,Ciemny kryształ,0,13,8,788
Dominika,"O psie, który wrócił do domu",0,13,4,784
Dominika,Kung Fu Panda 2,0,13,1,781
Dominika,Sex Story,0,12,54,774
Dominika,Nieoszlifowane diamenty,0,12,29,749
Dominika,3%,0,12,18,738
Dominika,Transformers,0,11,41,701
Dominika,Wszystkie jasne miejsca (zwiastun),0,10,53,653
Dominika,W wysokiej trawie,0,10,45,645
Dominika,Mamma Mia!,0,10,30,630
Dominika,Ludzkie dzieci,0,10,22,622
Dominika,Zabijam gigantów,0,10,9,609
Dominika,Świt Jeźdźców Smoków,0,10,4,604
Dominika,Egzorcysta,0,9,60,600
Dominika,Wu Assassins,0,9,51,591
Dominika,Szukając diagnozy,0,9,50,590
Dominika,Madagaskar 3,0,9,33,573
Dominika,You Me Her,0,9,16,556
Dominika,Madagaskar 2,0,9,8,548
Dominika,A Certain Magical Index,0,8,25,505
Dominika,Znak diabła,0,8,14,494
Dominika,Wytańcz to,0,8,13,493
Dominika,Player One,0,7,41,461
Dominika,Hotel Transylwania 3,0,7,30,450
Dominika,Sezon 4 (zwiastun),0,7,23,443
Dominika,Chilling Adventures of Sabrina,0,7,20,440
Dominika,Część 3 (podsumowanie),0,7,8,428
Dominika,Wyjaśniamy tajemnice seksu,0,6,52,412
Dominika,"10,000 B.C.",0,6,51,411
Dominika,Zabić bobra,0,6,48,408
Dominika,Sezon 1 (zwiastun nr 2),0,6,44,404
Dominika,Księżniczka łabędzi,0,6,36,396
Dominika,Lucy,0,6,33,393
Dominika,Miasteczko South Park,0,6,24,384
Dominika,"Miłość, śmierć i roboty",0,6,22,382
Dominika,"Jakby coś, kocham was",0,6,19,379
Dominika,Królewna Śnieżka i Łowca,0,6,18,378
Dominika,Pitch Perfect 3,0,6,18,378
Dominika,Sezon 1 (podsumowanie),0,6,16,376
Dominika,Pech to nie grzech,0,6,15,375
Dominika,Dom z papieru (zwiastun),0,6,10,370
Dominika,Twierdza Szanghaj,0,5,47,347
Dominika,The Darkest Dawn,0,5,46,346
Dominika,Dark (zwiastun),0,5,42,342
Dominika,Duma i uprzedzenie,0,5,33,333
Dominika,Tożsamość zdrajcy,0,5,9,309
Dominika,Śmiertelni,0,4,60,300
Dominika,The Crown (zwiastun),0,4,58,298
Dominika,Czarny Mercedes,0,4,52,292
Dominika,Contratiempo,0,4,39,279
Dominika,Sezon 1 (teaser),0,4,34,274
Dominika,Meteor Garden,0,4,31,271
Dominika,Sezon 1 (zwiastun nr 4),0,4,25,265
Dominika,Zanim odejdę (zwiastun),0,4,18,258
Dominika,Syn,0,4,8,248
Dominika,W głębi lasu (zwiastun),0,4,6,246
Dominika,Riverdale (zwiastun),0,4,2,242
Dominika,Miłość pod jednym dachem (zwiastun),0,3,59,239
Dominika,Amar,0,3,54,234
Dominika,Stranger Things (zwiastun nr 2),0,3,51,231
Dominika,The Old Guard (zwiastun),0,3,49,229
Dominika,Frontier (zwiastun),0,3,44,224
Dominika,Bumblebee,0,3,42,222
Dominika,Świnka Peppa,0,3,40,220
Dominika,Altered Carbon (zwiastun),0,3,32,212
Dominika,Zabójczy rejs (zwiastun),0,3,27,207
Dominika,Shadowhunters (zwiastun),0,3,22,202
Dominika,Odcinek świąteczny,0,3,21,201
Dominika,Sezon 1 (klip bonusowy nr 2),0,3,18,198
Dominika,Wędrująca Ziemia,0,3,15,195
Dominika,Toy Boy,0,3,11,191
Dominika,Więcej niż myślisz (zwiastun),0,3,4,184
Dominika,Dziewczyny z drużyny,0,3,3,183
Dominika,W deszczowy dzień w Nowym Jorku,0,3,1,181
Dominika,Stowarzyszenie Miłośników Literatury i Placka z Kartoflanych Obierek (zwiastun),0,2,55,175
Dominika,Sezon 4 (podsumowanie),0,2,55,175
Dominika,Kiss & Cry,0,2,54,174
Dominika,Harry Potter i Kamień Filozoficzny,0,2,51,171
Dominika,The Notebook_hook_primary_16x9,0,2,48,168
Dominika,Wysoka dziewczyna (zwiastun),0,2,45,165
Dominika,Fatamorgana (zwiastun),0,2,44,164
Dominika,Once Upon A Time,0,2,43,163
Dominika,TheCrown_S4_NoMarketingCard,0,2,42,162
Dominika,Zwiastun nr 2,0,2,41,161
Dominika,Aż do kości (zwiastun),0,2,41,161
Dominika,Addicted_hook_primary_16x9,0,2,40,160
Dominika,Mój Przyjaciel Hachiko,0,2,38,158
Dominika,Nie otwieraj oczu (klip),0,2,37,157
Dominika,Facet na święta (zwiastun),0,2,34,154
Dominika,Telefonistki (zwiastun),0,2,33,153
Dominika,Polityka,0,2,30,150
Dominika,W wysokiej trawie (zwiastun),0,2,25,145
Dominika,ChillingAdventuresofSabrina_Pt4_NoMarketingCard,0,2,24,144
Dominika,Zanim odejdę,0,2,24,144
Dominika,Shrek Forever,0,2,23,143
Dominika,Mia i biały lew,0,2,23,143
Dominika,Bad Luck Good Love_hook_02_16x9,0,2,23,143
Dominika,Bitten,0,2,22,142
Dominika,AIB Hook 1,0,2,21,141
Dominika,Ziemia nocą,0,2,19,139
Dominika,Eurovision Song Contest,0,2,18,138
Dominika,Season 1,0,2,18,138
Dominika,Black Mirror,0,2,17,137
Dominika,Sezon 1 (zwiastun nr 3),0,2,17,137
Dominika,Friends,0,2,10,130
Dominika,6 Years_hook_primary_16x9,0,2,8,128
Dominika,Groźne kłamstwa (zwiastun),0,2,8,128
Dominika,Dracula,0,2,4,124
Dominika,Błękitna laguna,0,2,3,123
Dominika,Gra Geralda (zwiastun),0,2,3,123
Dominika,Niezgodna,0,2,2,122
Dominika,Kroniki Arthdalu,0,2,1,121
Dominika,All My Friends Are Dead (Hook),0,1,58,118
Dominika,Colony,0,1,55,115
Dominika,Into the Storm_hook_03_16x9,0,1,53,113
Dominika,The Girl in the Fog_hook_03_16x9,0,1,48,108
Dominika,"Dark, Almost Night_hook_primary_16x9",0,1,48,108
Dominika,Seria Niezgodna,0,1,48,108
Dominika,Wysoka dziewczyna,0,1,48,108
Dominika,Honey 2,0,1,45,105
Dominika,White Lines,0,1,45,105
Dominika,Newness_hook_primary_16x9,0,1,43,103
Dominika,Amar_hook_primary_16x9,0,1,40,100
Dominika,Sweet Home,0,1,38,98
Dominika,Klip nr 2,0,1,38,98
Dominika,Lepsi niż my (zwiastun),0,1,38,98
Dominika,Glitch (zwiastun),0,1,38,98
Dominika,BIGMOUTH_S4_CLIP_CLIFFHANGER,0,1,37,97
Dominika,Na krańcu świata (zwiastun),0,1,32,92
Dominika,The Rain (zwiastun),0,1,32,92
Dominika,Code 8_hook_primary_16x9,0,1,30,90
Dominika,"Ania, nie Anna (zwiastun)",0,1,29,89
Dominika,Jane the Virgin,0,1,29,89
Dominika,Upgrade_hook_02_16x9,0,1,28,88
Dominika,Tidelands,0,1,28,88
Dominika,Cisza (zwiastun),0,1,28,88
Dominika,Lucy_hook_primary_16x9,0,1,28,88
Dominika,A Cinderella Story,0,1,27,87
Dominika,To the Lake,0,1,26,86
Dominika,Never Back Down 2,0,1,25,85
Dominika,Superstition,0,1,25,85
Dominika,Miniserial (zwiastun),0,1,24,84
Dominika,Ranczo,0,1,23,83
Dominika,Too Hot to Handle S1 (Rich Hook 3),0,1,23,83
Dominika,Arq (zwiastun),0,1,23,83
Dominika,The Clapper_hook_primary_16x9,0,1,22,82
Dominika,Czarny punkt,0,1,22,82
Dominika,To All the Boys I’ve Loved Before (Billboard Trailer),0,1,22,82
Dominika,Black Lightning (zwiastun),0,1,22,82
Dominika,Pandora (zwiastun),0,1,20,80
Dominika,Za co kocham Charliego,0,1,20,80
Dominika,LEGO Jurassic World,0,1,19,79
Dominika,DC's Legends of Tomorrow,0,1,19,79
Dominika,You Get Me (zwiastun),0,1,19,79
Dominika,Upalne święta (zwiastun),0,1,19,79
Dominika,Signs,0,1,18,78
Dominika,Siempre bruja,0,1,18,78
Dominika,WHAT / IF,0,1,18,78
Dominika,You Me Her (zwiastun),0,1,17,77
Dominika,Potrójna granica (zwiastun),0,1,17,77
Dominika,Gossip Girl,0,1,16,76
Dominika,Dynastia (zwiastun),0,1,16,76
Dominika,Miecz Nieśmiertelnego (zwiastun),0,1,14,74
Dominika,Wynonna Earp,0,1,13,73
Dominika,Kierunek,0,1,13,73
Dominika,Zagłada (zwiastun),0,1,13,73
Dominika,The Ugly Truth_hook_primary_16x9,0,1,12,72
Dominika,Lego Jurassic World,0,1,11,71
Dominika,Sezon 1 (teaser nr 2),0,1,11,71
Dominika,The Innocents (zwiastun nr 1),0,1,10,70
Dominika,Outsiderka (zwiastun),0,1,10,70
Dominika,Paradoks Cloverfield (zwiastun),0,1,9,69
Dominika,Re,0,1,9,69
Dominika,Ku jezioru,0,1,8,68
Dominika,Botocs_hook_primary_16x9,0,1,8,68
Dominika,Behind blue doors_hook_01_16x9,0,1,8,68
Dominika,The Light Between Oceans_hook_primary_16x9,0,1,7,67
Dominika,THEMIDNIGHTSKY_CLIP_INCITINGINCIDENT,0,1,6,66
Dominika,Bright (zwiastun),0,1,6,66
Dominika,Kakegurui (zwiastun),0,1,5,65
Dominika,Mortel,0,1,5,65
Dominika,Hubie ratuje Halloween (zwiastun),0,1,4,64
Dominika,The Hunger Games,0,1,4,64
Dominika,The Society,0,1,4,64
Dominika,Sandy Wexler (zwiastun),0,1,3,63
Dominika,The Lucky One_hook_primary_16x9,0,1,3,63
Dominika,The Frankenstein Chronicles (zwiastun),0,1,3,63
Dominika,A Quiet Place_hook_primary_16x9,0,1,3,63
Dominika,Powstrzymać mrok (zwiastun),0,1,3,63
Dominika,The Titan (zwiastun),0,1,3,63
Dominika,Proceder_hook_02_16x9,0,1,3,63
Dominika,Salvation,0,1,2,62
Dominika,Life Feels Good_hook_01_16x9,0,1,1,61
Dominika,"Crazy, Stupid, Love_hook_primary_16x9",0,1,1,61
Dominika,Kaliber,0,1,1,61
Dominika,Lady Bird_hook_primary_16x9,0,1,1,61
Dominika,Łowcy trolli (zwiastun),0,1,1,61
Dominika,ACALIFORNIACHRISTMAS_CLIP_MAINCHARACTER,0,0,59,59
Dominika,No Strings Attached_hook_primary_16x9,0,0,58,58
Dominika,Vikings,0,0,58,58
Dominika,Sezon 1 (klip bonusowy nr 1),0,0,58,58
Dominika,Interstellar_hook_primary_16x9,0,0,58,58
Dominika,Za co kocham Nicole,0,0,58,58
Dominika,Polityka_hook_primary_16x9,0,0,57,57
Dominika,Zapowiedź serialu,0,0,57,57
Dominika,Część 3 (zwiastun),0,0,57,57
Dominika,Sekretarka,0,0,56,56
Dominika,How to Get Away with Murder,0,0,56,56
Dominika,Snow White and the Huntsman_hook_primary_16x9,0,0,56,56
Dominika,Niewiarygodne,0,0,56,56
Dominika,Fantastic Beasts and Where to Find Them_hook_primary_16x9,0,0,55,55
Dominika,BÖRÜ,0,0,55,55
Dominika,Część 4 (zwiastun),0,0,54,54
Dominika,American Sniper_hook_primary_16x9,0,0,54,54
Dominika,Super 8_hook_primary_16x9,0,0,54,54
Dominika,Successful Woman_hook_05_16x9,0,0,54,54
Dominika,Pacific Rim_hook_primary_16x9,0,0,54,54
Dominika,Alien Warfare_hook_01_16x9,0,0,54,54
Dominika,Mars,0,0,53,53
Dominika,Ostatnie wakacje (zwiastun),0,0,53,53
Dominika,Jungle_hook_03_16x9,0,0,53,53
Dominika,Kygo,0,0,53,53
Dominika,The Last Family_hook_04_16x9,0,0,52,52
Dominika,Świąteczny książę (zwiastun),0,0,52,52
Dominika,Ostatnie pietro_hook_primary_16x9,0,0,52,52
Dominika,Our Planet,0,0,52,52
Dominika,The Do–Over (zwiastun) – popremierowy,0,0,51,51
Dominika,Insatiable,0,0,51,51
Dominika,El Dragón,0,0,51,51
Dominika,"Zabawa, zabawa_hook_primary_16x9",0,0,51,51
Dominika,Baby Driver_hook_primary_16x9,0,0,51,51
Dominika,Lovesick (zwiastun),0,0,51,51
Dominika,Wine Country - 30 Celebrate 30,0,0,50,50
Dominika,22 lipca (zwiastun),0,0,50,50
Dominika,Dredd_hook_03_16x9,0,0,50,50
Dominika,Shanghai Fortress (Hook 2),0,0,49,49
Dominika,Życie w cuglach,0,0,48,48
Dominika,Palm Trees in the Snow_hook_primary_16x9,0,0,48,48
Dominika,Świąteczny spadek (zwiastun),0,0,47,47
Dominika,Third Wheel,0,0,47,47
Dominika,Journey 2,0,0,47,47
Dominika,Troja,0,0,47,47
Dominika,Rytuał (zwiastun),0,0,47,47
Dominika,Plan B_hook_01_16x9,0,0,46,46
Dominika,How I Became a Gangster_hook_04_16x9,0,0,46,46
Dominika,Goosebumps_hook_primary_16x9,0,0,46,46
Dominika,Knightfall,0,0,46,46
Dominika,Blindness_hook_02_16x9,0,0,46,46
Dominika,Sezon 1 (Klip nr 3),0,0,45,45
Dominika,Pulp Fiction_hook_primary_16x9,0,0,45,45
Dominika,Sezon 1 (klip bonusowy nr 6),0,0,45,45
Dominika,Virgin River,0,0,45,45
Dominika,Grace i Grace (zwiastun),0,0,45,45
Dominika,Chemia_hook_04_16x9,0,0,44,44
Dominika,Bitwa (zwiastun),0,0,44,44
Dominika,The Social Network_hook_primary_16x9,0,0,44,44
Dominika,The Divergent Series,0,0,44,44
Dominika,Jupiter Ascending_hook_primary_16x9,0,0,44,44
Dominika,Ghost Wars,0,0,44,44
Dominika,Sekretna obsesja (zwiastun),0,0,44,44
Dominika,Zodiac_hook_01_16x9,0,0,44,44
Dominika,Godzilla_hook_primary_16x9,0,0,44,44
Dominika,THEMIDNIGHTSKY_CLIP_SUPPORTINGCHARACTER,0,0,43,43
Dominika,Wanderlust,0,0,43,43
Dominika,The Lovely Bones_hook_primary_16x9,0,0,43,43
Dominika,7 Emotions_hook_primary_16x9,0,0,43,43
Dominika,The DUFF_hook_04_16x9,0,0,42,42
Dominika,Aloha_hook_01_16x9,0,0,42,42
Dominika,Burlesque_hook_primary_16x9,0,0,42,42
Dominika,Zielona granica,0,0,42,42
Dominika,Shrek Forever After_hook_primary_16x9,0,0,41,41
Dominika,The Lake House_hook_primary_16x9,0,0,41,41
Dominika,Beautiful Creatures_hook_primary_16x9,0,0,41,41
Dominika,The Tourist_hook_primary_16x9,0,0,41,41
Dominika,Część 1 (zwiastun),0,0,40,40
Dominika,TAU (zwiastun),0,0,40,40
Dominika,Van Helsing,0,0,40,40
