"Country","Alcoholic Beverages","Animal Products","Animal fats","Aquatic Products, Other","Cereals - Excluding Beer","Eggs","Fish, Seafood","Fruits - Excluding Wine","Meat","Milk - Excluding Butter","Miscellaneous","Offals","Oilcrops","Pulses","Spices","Starchy Roots","Stimulants","Sugar Crops","Sugar & Sweeteners","Treenuts","Vegetal Products","Vegetable Oils","Vegetables","Obesity","Undernourished","Confirmed","Deaths","Recovered","Active","Population","Unit (all except Population)"
"Bahamas",2.9145,14.793,1.4205,0,10.7274,0.6613,1.2491,4.4575,8.1803,2.988,1.0776,0.2694,1.0287,0.1225,0.2204,0.7103,0.4164,0,8.6701,0.1714,35.2437,3.1594,1.5185,32.1,NA,1.86335877862595,0.0414758269720102,1.39516539440204,0.426717557251908,393000,"%"
"Bangladesh",0,2.3695,0.1541,0,37.5265,0.2312,0.8284,0.655,0.3468,0.7706,0.0193,0.0385,0.1348,1.2329,0.5009,1.9264,0.0193,0.0193,1.4255,0.1156,47.6401,3.429,0.6165,3.4,"14.7",0.258405031535431,0.00369532828059761,0.20893356653652,0.0457761367183129,169809000,"%"
"Barbados",1.1224,12.0877,1.157,0,15.3514,0.5871,1.416,1.934,5.664,3.1428,0.8979,0.1036,1.1915,1.2606,0.2936,1.7095,0.2936,0,8.0815,0.2763,37.9209,4.4552,1.0534,24.8,"3.9",0.0878048780487805,0.0024390243902439,0.0832752613240418,0.00209059233449477,287000,"%"
"Belarus",3.2979,12.2644,2.6748,0,14.2705,0.8511,0.4863,1.3982,5.7143,2.1884,0.1672,0.3495,0.228,0,0.0152,4.9848,0.3951,0,4.6049,0.4255,37.7204,6.1246,1.8389,26.6,"<2.5",1.258752,0.0113813333333333,1.04872533333333,0.198645333333333,9375000,"%"
"Belgium",2.3089,14.1587,4.7771,0,13.0441,0.69,0.5971,1.38,3.2776,4.6311,0,0.1858,0.2389,0.2919,0.0929,2.1895,0.1194,0,6.8073,0.5573,35.8413,7.0727,1.7383,24.5,"<2.5",4.73979157620495,0.130481980026053,0,4.6093095961789,11515000,"%"
"Belize",1.5199,9.1752,2.6135,0,18.9064,0.2966,0.3707,2.5209,3.9481,1.8906,0.519,0.0371,0.6117,2.2799,0.0371,0.5005,0.2966,0,7.6367,0.1297,40.8526,5.1158,0.7414,22.4,"7.5",1.18329355608592,0.0238663484486874,0.639618138424821,0.519809069212411,419000,"%"
"Benin",1.7604,2.4864,0.0907,0,18.4755,0.0544,0.5263,0.7623,1.1978,0.5263,0.0544,0.0726,1.8693,1.6515,1.0163,14.4646,0.0181,0,1.4338,0.5082,47.5318,4.6461,0.853,8.2,"10.1",0.0238840199852568,0.000352199197313457,0.0211237611598001,0.00240805962814317,12209000,"%"
"Bolivia",0.7859,10.0255,0.9133,0,21.644,0.5523,0.1062,2.4214,6.7545,1.6355,0.1274,0.085,0.4036,0.9133,0.085,3.5472,0.2761,0,5.6924,0.7859,39.9533,2.6551,0.6372,18.7,"17.1",1.23415284105562,0.0762915842860827,1.01721825840282,0.140642998366715,11633000,"%"
"Bosnia and Herzegovina",3.8856,9.0561,0.5507,0,21.233,0.2907,0.1836,1.8969,3.0289,4.8799,0.1989,0.1071,0.306,0.7802,1.0402,2.264,0.8414,0,3.0289,0.2601,40.9515,2.9524,2.264,19.4,"<2.5",2.30347455044194,0.0636696129228894,1.21566595550137,1.02413898201768,3281000,"%"
"Botswana",1.5598,8.1197,1.047,0,22.3932,0.1068,0.1923,1.0256,1.8803,4.6795,0.4487,0.2137,0.4915,0.5769,0.3419,2.6709,0.2564,0,5.9402,0.0427,41.8803,5.4915,0.641,16.1,"26.4",0.392878722485973,0.00129477772982305,0.293526111350885,0.0980578334052654,2317000,"%"
"Brazil",1.4314,13.2061,1.5238,0,14.5913,0.4464,0.2309,1.7239,7.1571,3.7402,0,0.1077,0.7234,2.0317,0.0154,1.7854,0.1385,0.1847,6.326,0.077,36.8016,7.2033,0.5541,22.3,"<2.5",2.80713510093857,0.0790583158650124,2.54158640681359,0.186490378259966,211812000,"%"
"Bulgaria",3.6782,12.29,2.458,0,17.931,0.5836,0.2829,1.7683,4.3148,4.3855,0.0884,0.2653,0.6366,0.3537,1.2202,0.9019,0.2122,0,4.6508,0.1415,37.7188,5.252,0.8665,27.4,"3.6",1.59572686588711,0.0365237476541071,0.468889851306482,1.09031326692652,6927000,"%"
"Burkina Faso",2.5188,2.7946,0.1287,0,31.6051,0.1471,0.2574,0.1471,1.1583,1.0112,0.0368,0.0919,3.6771,2.4269,0.0552,0.478,0.0184,0,1.765,0.0735,47.1962,4.2103,0.2022,4.5,"20",0.0127732861311773,0.000325312156149835,0.0118260536765058,0.000621920298521743,20903000,"%"
"Cabo Verde",1.2525,8.5288,1.0537,0,23.8171,0.338,0.3976,1.4513,3.4394,3.2207,0.4374,0.0795,0.4374,2.2068,0.497,1.8887,0.1789,0,3.6183,0.0596,41.4712,4.493,1.1332,10.6,"12.6",1.79856115107914,0.018705035971223,1.70575539568345,0.0741007194244604,556000,"%"
"Cambodia",1.4153,4.0437,0.1011,0,33.0166,0.1011,1.7792,0.647,1.7792,0.2022,0.182,0.0809,1.8601,0.93,0.1415,1.6983,0.0404,0.1415,4.1852,0.0404,45.9361,1.3142,0.3639,3.5,"16.4",0.00196167000064529,0,0.00187778279667032,8.38872039749629e-05,15497000,"%"
"Cameroon",1.5263,2.1669,0.1507,0,20.5201,0.0188,0.5464,3.5048,0.9987,0.4145,0.0565,0.0565,2.3931,3.5613,0.6595,8.1213,0.0377,0,1.6017,0.3203,47.8236,4.1455,1.3755,9.5,"9.9",0.0860816602752087,0.0016279419505226,0.0808707421610647,0.00358297616362133,26598000,"%"
"Canada",1.5748,12.6986,3.9656,0,13.0279,0.7731,0.5297,1.8182,4.796,2.6199,0.2577,0.0143,1.3171,1.5748,0.1432,1.5175,0.2434,0,6.199,0.587,37.2942,7.9599,1.088,31.3,"<2.5",0.823212882953653,0.02942655145326,0.662710133542812,NA,38190000,"%"
"Central African Republic",0.5402,7.3927,0.7393,0,8.9565,0.0569,0.4265,1.905,4.9758,0.8814,0.0284,0.3412,2.3031,2.2747,0,19.6759,0.0853,0,1.706,0,42.5931,4.8052,0.3128,6.3,"59.6",0.101449275362319,0.00130434782608696,0.0398343685300207,0.0603105590062112,4830000,"%"
"Chad",0.1436,6.9411,0.7659,0,27.8124,0.0239,0.4787,0.3112,3.0158,2.0345,0.0239,0.5984,5.5529,2.0345,0,3.1833,0,0,2.0823,0,43.0828,1.8191,0.0957,4.8,"37.5",0.0095751614623452,0.000598447591396575,0.00863305089767139,0.000343662973277241,16877000,"%"
"Chile",1.5942,12.3547,1.3783,0,19.5782,0.631,0.3985,1.2786,7.4228,2.4909,0.083,0.0332,0.3819,0.5812,0.0332,2.1421,0.1827,0,7.6387,0.2325,37.6453,2.823,1.096,28.8,"2.7",2.7455469953775,0.076512583461736,2.62334874165383,NA,19470000,"%"
"China",1.2768,16.1844,1.1773,0.0209,17.3827,1.2349,1.2872,1.2924,9.8896,1.889,0.5128,0.6698,1.0518,0.1727,0.0837,1.4023,0.4762,0.0052,3.3436,0.7797,33.8235,3.5791,2.4645,6.6,"8.5",0.00655354984544187,0.000338138243064494,0.00618232511043686,3.30864919405156e-05,1402385000,"%"
"Colombia",0.9856,8.8544,0.4363,0,15.3337,0.7433,0.2424,4.6857,4.0717,3.2477,0.0485,0.1293,0.3393,0.824,0.0808,2.7953,0.0969,0.0162,9.5492,0.1777,41.1375,5.5906,0.614,22.1,"4.8",2.46339899684492,0.0699033249737076,2.2756734891999,0.117822182671305,49444000,"%"
"Congo",1.6241,4.9805,0.065,0,12.6462,0.0433,1.1693,1.8839,3.1832,0.2815,0.1083,0.2382,1.2343,0.6063,0,17.7783,0.1299,0,3.5513,0,45.0195,4.699,0.7579,8.4,"40.3",0.315929684668358,0.0075208408843784,0.273233055454875,0.0351757883291047,5518000,"%"
"Costa Rica",1.211,11.347,1.9741,0,14.499,0.6304,0.7299,2.223,3.0358,4.8938,0.0664,0.0829,0.5309,1.775,0.0829,0.8129,0.2488,0,8.4107,0.1327,38.6695,7.9297,0.7133,25.7,"4.8",2.48507141459597,0.0310702406574056,1.53077675601644,0.923224417922129,5111000,"%"
"Cote d'Ivoire",0.4579,2.1612,0.0549,0,18.8278,0.1282,0.641,2.5458,0.8791,0.2747,0.0183,0.1832,1.2088,0.3846,0.2564,15.5495,0.5311,0,1.63,0.8425,47.8388,4.9451,0.641,9,"19",0.0804011461318052,0.000492836676217765,0.0791289398280802,0.000779369627507163,26175000,"%"
"Croatia",2.7404,14.6911,2.4809,0,14.2695,0.5027,0.6,1.508,5.4484,5.3997,0,0.2594,0.7297,0.1135,0.0649,1.1351,1.2162,0,7.4753,0.2757,35.317,3.843,1.9296,27.1,"<2.5",2.256592039801,0.0286318407960199,1.80778606965174,0.420174129353234,4020000,"%"
"Cuba",0.9825,7.6111,0.6159,0,19.607,0.4693,0.1466,3.2116,4.2968,1.9651,0.0293,0.1027,0.8506,2.5957,0.0147,3.4609,0.0587,0,7.5964,0,42.3962,2.713,1.2758,26.7,"<2.5",0.0682918181012322,0.0011612445705168,0.0635759241202021,0.00355464941051325,11281000,"%"
"Cyprus",1.6826,12.8681,0.7075,0,15.392,0.5927,0.8604,1.9312,5.9847,4.5698,0.631,0.1338,1.0134,0.5354,0.0765,0.9943,1.0325,0,4.4933,0.4015,37.1511,7.4379,1.5105,22.6,"5.6",0.638856669428335,0.00339685169842585,0.167439933719967,0.468019884009942,1207000,"%"
"Czechia",4.8993,14.0415,3.8156,0,11.4011,0.5037,0.29,1.2821,5.0366,4.2735,0.1068,0.1068,0.2442,0.29,0.0763,1.7705,0.5037,0,6.1661,0.1984,35.9737,8.1197,0.9005,28.5,"<2.5",4.43527435610302,0.062896603210153,3.43014184397163,0.942235908921239,10716000,"%"
"Denmark",2.4239,17.7505,5.0547,0,13.3757,0.9607,0.9459,1.5814,5.0103,5.439,0,0.3252,0.3104,0.1035,0.1921,1.6553,0.8868,0,7.1386,0.5025,32.2643,2.9116,1.1676,21.3,"<2.5",1.13782810087494,0.0132098130039458,0.8874420998456,0.23717618802539,5829000,"%"
"Djibouti",0.1306,3.7127,0.2799,0,27.8918,0.0746,0.1493,0.7836,1.4925,1.5858,0.2799,0.1306,0.1119,2.3881,0.2052,0.5597,0.2052,0,6.1754,0.0933,46.2873,6.25,1.2127,12.2,"18.9",0.572672064777328,0.00617408906882591,0.56163967611336,0.0048582995951417,988000,"%"
"Dominica",1.4266,10.9375,0.9341,0,11.3791,0.1529,1.036,5.8254,4.7724,3.9062,0.2548,0.1359,1.4266,0.7133,0.4755,5.9783,0.5944,0,6.9633,0.017,39.0625,2.9721,1.036,28.2,"6.2",0.0944444444444444,0,0.0569444444444445,0.0375,72000,"%"
"Dominican Republic",1.589,8.6782,0.7508,0,13.3054,0.6286,0.2968,7.421,3.7716,2.9859,0.1921,0.2445,1.1524,1.5017,0.0524,1.3794,0.1746,0,5.413,0.0349,41.3305,8.521,0.5762,26.9,"9.5",1.28720952380952,0.0218380952380952,1.05591428571429,0.209457142857143,10500000,"%"
"Ecuador",0.9275,9.7391,1.4879,0,23.4396,0.5411,0.2512,2.5894,3.9227,3.4203,0.0966,0.1353,0.3671,0.3285,0.0386,1.0242,0.0773,0,3.6908,0.0386,40.2319,7.1884,0.4638,19.3,"7.9",1.04077437039575,0.074536005939124,0.91736051624693,0.0488778482096968,17511000,"%"
"Egypt",0.0301,4.1999,0.5269,0,32.2144,0.1957,0.6322,2.5591,1.6408,0.9935,0.0151,0.2107,0.7828,0.6624,0.1204,1.2645,0.0452,0.3462,4.0644,0.0602,45.7926,2.0623,1.5806,31.1,"4.5",0.110723887185897,0.00644326061724354,0.100613076991756,0.00366754957689751,100803000,"%"
"El Salvador",0.9019,7.9857,1.3717,0,22.6043,0.5825,0.2818,1.9917,2.2924,3.4198,0.2443,0.0564,1.4092,2.95,0.0188,1.2026,0.1691,0,7.1965,0.0376,41.9955,2.1984,1.0898,22.7,"9",0.570359512420923,0.0162937818237926,0.517157846011418,0.0369078845857121,6481000,"%"
"Estonia",4.839,15.3336,1.9572,0,16.2121,0.7397,0.339,1.5411,4.3612,7.8132,0.0462,0.1387,0.1387,0.4315,0.1541,2.25,1.125,0,3.7756,0.4469,34.6741,2.4503,1.2329,23.8,"2.9",0.62389181066867,0.00638617580766341,0.384673178061608,0.232832456799399,1331000,"%"
"Eswatini",1.5593,5.5925,0.5198,0,27.5468,0.1247,0.1663,1.4969,2.7651,1.8295,0.1663,0.1663,0.7277,0.7277,0.3326,2.8274,0.0416,0,6.7152,0.1247,44.4075,1.7464,0.4158,13.5,"20.6",0.556521739130435,0.0107789855072464,0.527717391304348,0.0180253623188406,1104000,"%"
"Ethiopia",0.4774,2.0182,0.1519,0,31.5321,0.0434,0.0217,0.2821,0.651,1.1068,0,0.0651,0.4123,4.4705,0.5859,6.1198,0.0651,0,1.8663,0.0868,47.9601,1.8012,0.2821,3.6,"20.6",0.0904382331442097,0.00139319154860942,0.0562088830101988,0.0328361585854015,114916000,"%"
"Fiji",0.7322,8.4795,2.2476,0,18.1338,0.2724,1.1238,0.63,3.5587,1.1749,0.0681,0.1192,3.5076,1.8219,0.1192,4.3419,0.2384,0,5.9254,0.0511,41.512,5.1081,0.8343,30,"3.7",0.00390625,0.000223214285714286,0.00357142857142857,0.000111607142857143,896000,"%"
"Finland",2.4873,19.2239,2.4273,0,14.504,0.5094,0.944,1.6032,7.9562,7.267,0.4495,0.1199,0.2997,0.1648,0.045,1.6931,0.5993,0,4.525,0.2397,30.7761,3.2814,0.884,24.9,"<2.5",0.360553445469343,0.00676433351419786,0.276722734671731,0.0770663772834147,5529000,"%"
"France",1.9955,16.9899,3.6818,0,13.8983,0.6183,0.8994,1.6582,6.1551,5.3963,0.0562,0.2389,0.3513,0.2389,0.0422,1.321,0.4356,0,5.5509,0.4216,33.0101,6.0568,0.9837,23.2,"<2.5",3.25795657530028,0.0720234062211272,0.232469972282107,2.95346319679704,64940000,"%"
"French Polynesia",1.4879,15.0676,1.8129,0,15.8885,0.496,1.6419,1.0433,8.1409,2.7364,1.1459,0.2223,2.4457,0.325,0.0171,1.9155,0.667,0.1368,3.5574,0.1539,34.941,5.3019,0.8551,NA,"4.2",NA,NA,NA,NA,280000,"%"
"Gabon",2.0617,7.1874,0.1513,0,18.0064,0.0567,1.0781,5.2771,4.4638,0.9835,0.3215,0.4539,2.3454,0.0378,0,8.398,0.1702,0.0189,2.7237,0.0189,42.8031,2.8939,0.5485,13.4,"10.5",0.407171671896011,0.0025997310623039,0.401479157328552,0.00309278350515464,2231000,"%"
"Gambia",0.3543,3.7394,0.0787,0,26.8845,0.0984,1.1021,0.1771,0.6298,1.791,0.1771,0.0394,4.8219,0.1574,0,0.3543,0.0787,0,5.5895,0.0787,46.2704,7.282,0.2952,8.7,"10.2",0.15328920148945,0.00504757964418701,0.148034753827058,0.000206868018204386,2417000,"%"
"Georgia",1.2367,8.8138,1.6025,0,25.6053,0.4006,0.2613,0.8361,2.3689,4.0759,0.2264,0.0871,0.1916,0,0.0523,1.4806,0.8361,0,6.6539,0.2961,41.1949,3.205,0.5748,23.3,"7.9",2.40632570659489,0.0219380888290713,1.92376850605653,0.460619111709287,3715000,"%"
"Germany",3.2902,15.3684,4.162,0,12.4016,0.6187,0.5343,1.5607,5.0759,4.9072,0,0.0703,0.4781,0.0984,0.0984,1.7717,0.4218,0,6.482,0.7593,34.6316,6.1867,1.0827,25.7,"<2.5",1.04139735894358,0.0160744297719088,0.665392557022809,0.35993037214886,83300000,"%"
"Ghana",0.3956,2.1263,0.0989,0,13.8784,0.0659,0.923,5.6865,0.7417,0.2308,0.0494,0.0824,1.6812,1.0219,0.5769,19.6143,0,0.0659,1.9779,0.0989,47.8655,2.4065,0.4121,9.7,"5.5",0.162382132397902,0.00103948765809545,0.156759888005664,0.00458275673414218,31073000,"%"
"Greece",1.0285,11.4771,0.7006,0,14.4731,0.4919,0.5068,2.2954,4.1586,5.4255,0.164,0.1938,0.8794,0.6707,0.0596,1.5203,0.4919,0,4.2629,1.0434,38.5303,10.1654,1.4607,27.4,"<2.5",0.766672897196262,0.0120373831775701,0.215644859813084,0.538990654205607,10700000,"%"
"Grenada",1.9979,12.2581,0.7284,0,13.7565,0.7284,1.1446,3.5588,5.7648,3.8085,0.3538,0.0832,1.1863,1.3111,0.6452,1.1446,0.3122,0,7.9084,0.0416,37.7523,4.9116,0.6035,20.2,NA,0.031858407079646,0,0.0265486725663717,0.00530973451327434,113000,"%"
"Guatemala",0.5887,5.5534,0.3925,0,23.8619,0.9419,0.0981,1.3736,2.551,1.4914,0.0589,0.0785,1.0793,2.7473,0.0589,0.3532,0.1766,0,9.3995,0.2159,44.4662,3.748,0.7653,18.8,"15.2",0.644199047935348,0.0221853204915311,0.58512122218532,0.0368925052584966,18066000,"%"
"Guinea",0.0894,2.415,0.161,0,24.8479,0.1073,0.3399,2.5939,1.0376,0.6619,0.0716,0.1073,1.8784,0.7335,0,6.7979,0.0894,0,2.2182,0,47.585,6.6547,1.61,6.6,"16.5",0.101218152866242,0.000597133757961783,0.0930652866242038,0.00755573248407643,12560000,"%"
"Guinea-Bissau",0.6881,3.8624,0.1554,0,28.6127,0.0666,0.0444,1.9534,2.5971,0.8657,0.1332,0.111,0.5771,0.3996,0,4.1065,0.0666,0,0.6881,1.1543,46.1487,7.5028,0.2664,8.2,"28",0.125635703165542,0.00223144784639336,0.118629994810586,0.00477426050856253,1927000,"%"
"Guyana",0.5719,9.0121,0.208,0,21.2998,0.1213,0.8666,2.253,3.6915,4.1075,0.1906,0.0347,2.5303,1.1612,0.5546,1.3345,0.2773,0,5.5459,0.2253,40.9879,1.8371,3.1889,19.2,"8.1",0.624396442185515,0.0180432020330368,0.503430749682338,0.10292249047014,787000,"%"
"Haiti",2.0559,3.7884,0.3234,0,21.5754,0.0462,0.2079,2.9568,2.079,1.0626,0.0924,0.0924,0.8085,3.8346,0,5.7057,0.2079,0,4.0425,0,46.2,4.5507,0.3696,20.5,"49.3",0.0806015960712093,0.0020345523107954,0.068578444269052,0.00998859949136192,11403000,"%"
"Honduras",0.7052,6.7385,0.6464,0,23.3301,0.2938,0.0979,1.5475,2.8991,2.7032,0.1567,0.0784,0.1763,2.3898,0.0196,0.2938,0.2351,0,8.5406,0.0392,43.2517,5.4848,0.3722,19.4,"12.9",1.04914841849148,0.0287814274128143,0.457035685320357,0.563331305758313,9864000,"%"
"Hungary",3.0432,16.0682,5.28,0,13.4206,0.8065,0.1978,1.0347,5.9038,3.8649,0.0152,0,0.1978,0.4108,0.1522,1.339,0.426,0,5.3408,0.0304,33.9318,7.4863,1.0499,28.6,"<2.5",1.60693150404423,0.034606327429098,0.35677280638886,1.21555237022627,9767000,"%"
"Iceland",2.0403,22.2911,2.9915,0,10.7803,0.5928,2.2746,2.2195,7.5958,8.5746,0.4687,0.2619,0.4825,0.0965,0.1654,1.0753,0.9374,0,5.3212,0.2481,27.7089,3.019,0.8547,23.1,"<2.5",1.42010869565217,0.00679347826086957,1.34076086956522,0.072554347826087,368000,"%"
"India",0.2582,5.5622,1.4899,0,27.652,0.2384,0.2582,1.4303,0.298,3.2578,0,0.0199,0.9734,3.1387,0.5959,1.1124,0.0199,0,3.5757,0.1986,44.4378,4.3504,1.1323,3.8,"14.5",0.639845939575745,0.00939775730304978,0.598785943861153,0.031662238411542,1400100000,"%"
"Indonesia",0.0346,3.372,0.121,0,31.9557,0.3977,1.4698,1.4179,0.9165,0.3631,0,0.1038,1.833,0.1729,0.2594,2.4728,0.1383,0,3.4584,0.0865,46.6367,4.0809,0.709,6.9,"8.3",0.176169044561141,0.00570510673845123,0.148063767070608,0.022400170752082,271739000,"%"
"Iran (Islamic Republic of)",0,5.8494,1.3782,0,26.2179,0.4647,0.3686,2.8526,2.3077,1.2179,0,0.0962,0.1122,1.0897,0.1282,1.6346,0.0481,0,4.5513,1.2821,44.1506,4.4712,1.7788,25.5,"4.9",0.952934046345811,0.0510291146761735,0.685660130718954,0.216244800950683,84150000,"%"
"Iraq",0.0997,4.1476,0.9372,0,29.7308,0.7378,0.1196,1.5753,1.4756,0.8774,0.1196,0.0199,0.2991,0.6979,0.0399,0.339,0.2592,0,4.7059,0.1994,45.8225,7.2383,0.5583,27.4,"29",1.32624795468848,0.0296916299559471,1.14581749528005,0.150738829452486,39725000,"%"
"Ireland",3.2284,14.0167,2.9997,0,14.4471,0.4977,0.7398,1.8832,5.0982,4.5601,0.0807,0.1211,0.3901,0.3228,0.0807,1.7487,0.7129,0,6.0533,0.3497,35.9833,5.4479,1.2376,26.9,"<2.5",1.38033180091945,0.0400959424345393,0.466999800119928,0.873236058364981,5003000,"%"
"Israel",0.6267,11.5653,0.5127,0,15.297,0.5555,0.6409,2.6919,5.7257,4.0023,0.0997,0.1424,1.581,0.8688,0.0712,1.0255,0.4985,0,3.6177,0.6552,38.4133,9.8846,1.524,26.7,"<2.5",3.54091796875,0.0297200520833333,3.42141927083333,0.0897786458333333,9216000,"%"
"Italy",1.4624,12.5657,2.1014,0,16.2999,0.6389,0.7951,1.9878,5.0121,3.9188,0.1136,0.0994,0.213,0.6957,0.0142,0.9655,0.1562,0,4.4299,0.7099,37.4414,9.1722,1.2069,22.9,"<2.5",2.1101764627836,0.0783086771925169,0.79933494759188,1.2325328379992,60296000,"%"
"Jamaica",1.3423,9.4685,1.5781,0,16.1255,0.127,0.8707,2.5757,3.8999,2.8297,0.2902,0.1451,1.0521,0.5079,0.8163,2.739,0.1633,0,9.269,0.0363,40.5405,4.5892,1.0339,24.4,"8",0.356674973300107,0.00829476682093272,0.191135635457458,0.157244571021716,2809000,"%"
"Japan",2.4472,10.1594,0.5562,0.0185,19.6329,1.4461,2.3174,0.8713,3.6522,2.0393,0.0742,0.1298,2.0022,0.2595,0.2039,1.1123,0.4079,0.0927,4.4679,0.241,39.8406,6.7482,1.2792,4.4,"<2.5",0.0980232918145229,0.00151468241682345,0.0832257654782602,0.0132828439194392,125967000,"%"
"Jordan",0.0553,6.0796,0.5527,0,22.0892,0.2395,0.2211,1.308,2.8924,2.1002,0.1105,0.0737,0.9211,1.1238,0.0921,0.8106,0.3316,0,6.9823,0.35,43.9204,8.6035,1.1422,33.4,"12.2",1.53503136997846,0.0184380559977526,0.888622530199457,0.627970783781253,10679000,"%"
"Kazakhstan",1.5175,14.1114,1.1264,0,14.6746,0.5163,0.1408,1.627,5.1001,6.9775,0.1408,0.2503,0.2972,0.0782,0.0313,2.9568,0.485,0,4.1302,0.3442,35.8886,7.7441,1.8617,21.3,"<2.5",0.65714819560111,0.0103833013025838,0.593487080931027,0.0532778133674995,18732000,"%"
"Kenya",0.6828,5.9101,0.3532,0,26.3951,0.0942,0.1648,1.3892,1.8837,3.2494,0,0.1413,0.4003,3.5555,0.0235,3.8615,0.0706,0,3.6732,0.1413,44.1017,3.2964,0.6122,6,"29.4",0.135790614257958,0.00245292183530115,0.0931811388432222,0.0401565535794351,53528000,"%"
"Kiribati",0.1145,5.9555,0.2291,0,16.9993,0.1309,2.6014,1.8815,2.6832,0.2781,0.1145,0.0164,10.2912,0,0.0164,3.6649,0.0164,0,7.9188,0.2945,44.0609,2.1924,0.5399,45.6,"2.7",NA,NA,NA,NA,125000,"%"
"Korea, North",1.4282,3.1273,0,0,29.9926,0.4432,0.4186,1.6991,2.0438,0.1477,0.0246,0.0492,0.5171,2.4871,0,3.2012,0,0,0.8619,0.0492,46.9096,4.5802,2.0192,7.1,"47.8",NA,NA,NA,NA,25779000,"%"
"Korea, South",2.0481,9.3351,1.2318,0.4007,20.5847,0.6085,1.6325,1.1279,4.6453,0.653,0,0.1633,1.0834,0.1633,0.0594,0.564,0.1187,0,5.2983,0.4749,40.6649,6.6934,2.4488,4.9,"<2.5",0.0572681099244897,0.000961742724165234,0.0504007261350689,0.0059056410652556,51781000,"%"
