Entity,Code,Date,international_travel_controls
Afghanistan,AFG,2020-03-19,3
Afghanistan,AFG,2020-03-20,3
Afghanistan,AFG,2020-03-21,3
Afghanistan,AFG,2020-03-22,3
Afghanistan,AFG,2020-03-23,3
Afghanistan,AFG,2020-03-24,3
Afghanistan,AFG,2020-03-25,3
Afghanistan,AFG,2020-03-26,3
Afghanistan,AFG,2020-03-27,3
Afghanistan,AFG,2020-03-28,3
Afghanistan,AFG,2020-03-29,3
Afghanistan,AFG,2020-03-30,3
Afghanistan,AFG,2020-03-31,3
Afghanistan,AFG,2020-04-01,3
Afghanistan,AFG,2020-04-02,3
Afghanistan,AFG,2020-04-03,3
Afghanistan,AFG,2020-04-04,3
Afghanistan,AFG,2020-04-05,3
Afghanistan,AFG,2020-04-06,3
Afghanistan,AFG,2020-04-07,3
Afghanistan,AFG,2020-04-08,3
Afghanistan,AFG,2020-04-09,3
Afghanistan,AFG,2020-04-10,3
Afghanistan,AFG,2020-04-11,3
Afghanistan,AFG,2020-04-12,3
Afghanistan,AFG,2020-04-13,3
Afghanistan,AFG,2020-04-14,3
Afghanistan,AFG,2020-04-15,3
Afghanistan,AFG,2020-04-16,3
Afghanistan,AFG,2020-04-17,3
Afghanistan,AFG,2020-04-18,3
Afghanistan,AFG,2020-04-19,3
Afghanistan,AFG,2020-04-20,3
Afghanistan,AFG,2020-04-21,3
Afghanistan,AFG,2020-04-22,3
Afghanistan,AFG,2020-04-23,3
Afghanistan,AFG,2020-04-24,3
Afghanistan,AFG,2020-04-25,3
Afghanistan,AFG,2020-04-26,3
Afghanistan,AFG,2020-04-27,3
Afghanistan,AFG,2020-04-28,3
Afghanistan,AFG,2020-04-29,3
Afghanistan,AFG,2020-04-30,3
Afghanistan,AFG,2020-05-01,3
Afghanistan,AFG,2020-05-02,3
Afghanistan,AFG,2020-05-03,3
Afghanistan,AFG,2020-05-04,3
Afghanistan,AFG,2020-05-05,3
Afghanistan,AFG,2020-05-06,3
Afghanistan,AFG,2020-05-07,3
Afghanistan,AFG,2020-05-08,3
Afghanistan,AFG,2020-05-09,3
Afghanistan,AFG,2020-05-10,3
Afghanistan,AFG,2020-05-11,3
Afghanistan,AFG,2020-05-12,3
Afghanistan,AFG,2020-05-13,3
Afghanistan,AFG,2020-05-14,3
Afghanistan,AFG,2020-05-15,3
Afghanistan,AFG,2020-05-16,3
Afghanistan,AFG,2020-05-17,3
Afghanistan,AFG,2020-05-18,3
Afghanistan,AFG,2020-05-19,3
Afghanistan,AFG,2020-05-20,3
Afghanistan,AFG,2020-05-21,3
Afghanistan,AFG,2020-05-22,3
Afghanistan,AFG,2020-05-23,3
Afghanistan,AFG,2020-05-24,3
Afghanistan,AFG,2020-05-25,3
Afghanistan,AFG,2020-05-26,3
Afghanistan,AFG,2020-05-27,3
Afghanistan,AFG,2020-05-28,3
Afghanistan,AFG,2020-05-29,3
Afghanistan,AFG,2020-05-30,3
Afghanistan,AFG,2020-05-31,3
Afghanistan,AFG,2020-06-01,3
Afghanistan,AFG,2020-06-02,3
Afghanistan,AFG,2020-06-03,3
Afghanistan,AFG,2020-06-04,3
Afghanistan,AFG,2020-06-05,3
Afghanistan,AFG,2020-06-06,3
Afghanistan,AFG,2020-06-07,3
Afghanistan,AFG,2020-06-08,3
Afghanistan,AFG,2020-06-09,1
Afghanistan,AFG,2020-06-10,1
Afghanistan,AFG,2020-06-11,1
Afghanistan,AFG,2020-06-12,1
Afghanistan,AFG,2020-06-13,1
Afghanistan,AFG,2020-06-14,1
Afghanistan,AFG,2020-06-15,1
Afghanistan,AFG,2020-06-16,1
Afghanistan,AFG,2020-06-17,1
Afghanistan,AFG,2020-06-18,1
Afghanistan,AFG,2020-06-19,1
Afghanistan,AFG,2020-06-20,1
Afghanistan,AFG,2020-06-21,1
Afghanistan,AFG,2020-06-22,1
Afghanistan,AFG,2020-06-23,1
Afghanistan,AFG,2020-06-24,1
Afghanistan,AFG,2020-06-25,1
Afghanistan,AFG,2020-06-26,1
Afghanistan,AFG,2020-06-27,1
Afghanistan,AFG,2020-06-28,1
Afghanistan,AFG,2020-06-29,1
Afghanistan,AFG,2020-06-30,1
Afghanistan,AFG,2020-07-01,1
Afghanistan,AFG,2020-07-02,1
Afghanistan,AFG,2020-07-03,1
Afghanistan,AFG,2020-07-04,1
Afghanistan,AFG,2020-07-05,1
Afghanistan,AFG,2020-07-06,1
Afghanistan,AFG,2020-07-07,1
Afghanistan,AFG,2020-07-08,1
Afghanistan,AFG,2020-07-09,1
Afghanistan,AFG,2020-07-10,1
Afghanistan,AFG,2020-07-11,1
Afghanistan,AFG,2020-07-12,1
Afghanistan,AFG,2020-07-13,1
Afghanistan,AFG,2020-07-14,1
Afghanistan,AFG,2020-07-15,1
Afghanistan,AFG,2020-07-16,1
Afghanistan,AFG,2020-07-17,1
Afghanistan,AFG,2020-07-18,1
Afghanistan,AFG,2020-07-19,1
Afghanistan,AFG,2020-07-20,1
Afghanistan,AFG,2020-07-21,1
Afghanistan,AFG,2020-07-22,1
Afghanistan,AFG,2020-07-23,1
Afghanistan,AFG,2020-07-24,1
Afghanistan,AFG,2020-07-25,1
Afghanistan,AFG,2020-07-26,1
Afghanistan,AFG,2020-07-27,1
Afghanistan,AFG,2020-07-28,1
Afghanistan,AFG,2020-07-29,1
Afghanistan,AFG,2020-07-30,1
Afghanistan,AFG,2020-07-31,1
Afghanistan,AFG,2020-08-01,1
Afghanistan,AFG,2020-08-02,1
Afghanistan,AFG,2020-08-03,1
Afghanistan,AFG,2020-08-04,1
Afghanistan,AFG,2020-08-05,1
Afghanistan,AFG,2020-08-06,1
Afghanistan,AFG,2020-08-07,1
Afghanistan,AFG,2020-08-08,1
Afghanistan,AFG,2020-08-09,1
Afghanistan,AFG,2020-08-10,1
Afghanistan,AFG,2020-08-11,1
Afghanistan,AFG,2020-08-12,1
Afghanistan,AFG,2020-08-13,1
Afghanistan,AFG,2020-08-14,1
Afghanistan,AFG,2020-08-15,1
Afghanistan,AFG,2020-08-16,1
Afghanistan,AFG,2020-08-17,1
Afghanistan,AFG,2020-08-18,1
Afghanistan,AFG,2020-08-19,1
Afghanistan,AFG,2020-08-20,1
Afghanistan,AFG,2020-08-21,1
Afghanistan,AFG,2020-08-22,1
Afghanistan,AFG,2020-08-23,1
Afghanistan,AFG,2020-08-24,1
Afghanistan,AFG,2020-08-25,1
Afghanistan,AFG,2020-08-26,1
Afghanistan,AFG,2020-08-27,1
Afghanistan,AFG,2020-08-28,1
Afghanistan,AFG,2020-08-29,1
Afghanistan,AFG,2020-08-30,1
Afghanistan,AFG,2020-08-31,1
Afghanistan,AFG,2020-09-01,1
Afghanistan,AFG,2020-09-02,1
Afghanistan,AFG,2020-09-03,1
Afghanistan,AFG,2020-09-04,1
Afghanistan,AFG,2020-09-05,1
Afghanistan,AFG,2020-09-06,1
Afghanistan,AFG,2020-09-07,1
Afghanistan,AFG,2020-09-08,1
Afghanistan,AFG,2020-09-09,1
Afghanistan,AFG,2020-09-10,1
Afghanistan,AFG,2020-09-11,1
Afghanistan,AFG,2020-09-12,1
Afghanistan,AFG,2020-09-13,1
Afghanistan,AFG,2020-09-14,1
Afghanistan,AFG,2020-09-15,1
Afghanistan,AFG,2020-09-16,1
Afghanistan,AFG,2020-09-17,1
Afghanistan,AFG,2020-09-18,1
Afghanistan,AFG,2020-09-19,1
Afghanistan,AFG,2020-09-20,1
Afghanistan,AFG,2020-09-21,1
Afghanistan,AFG,2020-09-22,1
Afghanistan,AFG,2020-09-23,1
Afghanistan,AFG,2020-09-24,1
Afghanistan,AFG,2020-09-25,1
Afghanistan,AFG,2020-09-26,1
Afghanistan,AFG,2020-09-27,1
Afghanistan,AFG,2020-09-28,1
Afghanistan,AFG,2020-09-29,1
Afghanistan,AFG,2020-09-30,1
Afghanistan,AFG,2020-10-01,1
Afghanistan,AFG,2020-10-02,1
Afghanistan,AFG,2020-10-03,1
Afghanistan,AFG,2020-10-04,1
Afghanistan,AFG,2020-10-05,1
Afghanistan,AFG,2020-10-06,0
Afghanistan,AFG,2020-10-07,0
Afghanistan,AFG,2020-10-08,0
Afghanistan,AFG,2020-10-09,0
Afghanistan,AFG,2020-10-10,0
Afghanistan,AFG,2020-10-11,0
Afghanistan,AFG,2020-10-12,0
Afghanistan,AFG,2020-10-13,0
Afghanistan,AFG,2020-10-14,0
Afghanistan,AFG,2020-10-15,0
Afghanistan,AFG,2020-10-16,0
Afghanistan,AFG,2020-10-17,0
Afghanistan,AFG,2020-10-18,0
Afghanistan,AFG,2020-10-19,0
Afghanistan,AFG,2020-10-20,0
Afghanistan,AFG,2020-10-21,0
Afghanistan,AFG,2020-10-22,0
Afghanistan,AFG,2020-10-23,0
Afghanistan,AFG,2020-10-24,0
Afghanistan,AFG,2020-10-25,0
Afghanistan,AFG,2020-10-26,0
Afghanistan,AFG,2020-10-27,0
Afghanistan,AFG,2020-10-28,0
Afghanistan,AFG,2020-10-29,0
Afghanistan,AFG,2020-10-30,0
Afghanistan,AFG,2020-10-31,0
Afghanistan,AFG,2020-11-01,0
Afghanistan,AFG,2020-11-02,0
Afghanistan,AFG,2020-11-03,0
Afghanistan,AFG,2020-11-04,0
Afghanistan,AFG,2020-11-05,0
Afghanistan,AFG,2020-11-06,0
Afghanistan,AFG,2020-11-07,0
Afghanistan,AFG,2020-11-08,0
Afghanistan,AFG,2020-11-09,1
Afghanistan,AFG,2020-11-10,1
Afghanistan,AFG,2020-11-11,1
Afghanistan,AFG,2020-11-12,1
Afghanistan,AFG,2020-11-13,1
Afghanistan,AFG,2020-11-14,1
Afghanistan,AFG,2020-11-15,1
Afghanistan,AFG,2020-11-16,1
Afghanistan,AFG,2020-11-17,1
Afghanistan,AFG,2020-11-18,1
Afghanistan,AFG,2020-11-19,1
Afghanistan,AFG,2020-11-20,1
Albania,ALB,2020-01-01,0
Albania,ALB,2020-01-02,0
Albania,ALB,2020-01-03,0
Albania,ALB,2020-01-04,0
Albania,ALB,2020-01-05,0
Albania,ALB,2020-01-06,0
Albania,ALB,2020-01-07,0
Albania,ALB,2020-01-08,0
Albania,ALB,2020-01-09,0
Albania,ALB,2020-01-10,0
Albania,ALB,2020-01-11,0
Albania,ALB,2020-01-12,0
Albania,ALB,2020-01-13,0
Albania,ALB,2020-01-14,0
Albania,ALB,2020-01-15,0
Albania,ALB,2020-01-16,0
Albania,ALB,2020-01-17,0
Albania,ALB,2020-01-18,0
Albania,ALB,2020-01-19,0
Albania,ALB,2020-01-20,0
Albania,ALB,2020-01-21,0
Albania,ALB,2020-01-22,0
Albania,ALB,2020-01-23,0
Albania,ALB,2020-01-24,0
Albania,ALB,2020-01-25,0
Albania,ALB,2020-01-26,0
Albania,ALB,2020-01-27,0
Albania,ALB,2020-01-28,0
Albania,ALB,2020-01-29,0
Albania,ALB,2020-01-30,0
Albania,ALB,2020-01-31,0
Albania,ALB,2020-02-01,0
Albania,ALB,2020-02-02,0
Albania,ALB,2020-02-03,0
Albania,ALB,2020-02-04,0
Albania,ALB,2020-02-05,0
Albania,ALB,2020-02-06,0
Albania,ALB,2020-02-07,0
Albania,ALB,2020-02-08,0
Albania,ALB,2020-02-09,0
Albania,ALB,2020-02-10,0
Albania,ALB,2020-02-11,0
Albania,ALB,2020-02-12,0
Albania,ALB,2020-02-13,0
Albania,ALB,2020-02-14,0
Albania,ALB,2020-02-15,0
Albania,ALB,2020-02-16,0
Albania,ALB,2020-02-17,0
Albania,ALB,2020-02-18,0
Albania,ALB,2020-02-19,0
Albania,ALB,2020-02-20,0
Albania,ALB,2020-02-21,0
Albania,ALB,2020-02-22,0
Albania,ALB,2020-02-23,0
Albania,ALB,2020-02-24,0
Albania,ALB,2020-02-25,1
Albania,ALB,2020-02-26,1
Albania,ALB,2020-02-27,1
Albania,ALB,2020-02-28,1
Albania,ALB,2020-02-29,1
Albania,ALB,2020-03-01,1
Albania,ALB,2020-03-02,1
Albania,ALB,2020-03-03,1
Albania,ALB,2020-03-04,1
Albania,ALB,2020-03-05,1
Albania,ALB,2020-03-06,1
Albania,ALB,2020-03-07,1
Albania,ALB,2020-03-08,1
Albania,ALB,2020-03-09,1
Albania,ALB,2020-03-10,1
Albania,ALB,2020-03-11,2
Albania,ALB,2020-03-12,2
Albania,ALB,2020-03-13,2
Albania,ALB,2020-03-14,2
Albania,ALB,2020-03-15,3
Albania,ALB,2020-03-16,3
Albania,ALB,2020-03-17,3
Albania,ALB,2020-03-18,3
Albania,ALB,2020-03-19,3
Albania,ALB,2020-03-20,3
Albania,ALB,2020-03-21,3
Albania,ALB,2020-03-22,3
Albania,ALB,2020-03-23,4
Albania,ALB,2020-03-24,4
Albania,ALB,2020-03-25,4
Albania,ALB,2020-03-26,4
Albania,ALB,2020-03-27,4
Albania,ALB,2020-03-28,4
Albania,ALB,2020-03-29,4
Albania,ALB,2020-03-30,4
Albania,ALB,2020-03-31,4
Albania,ALB,2020-04-01,4
Albania,ALB,2020-04-02,4
Albania,ALB,2020-04-03,4
Albania,ALB,2020-04-04,4
Albania,ALB,2020-04-05,4
Albania,ALB,2020-04-06,4
Albania,ALB,2020-04-07,4
Albania,ALB,2020-04-08,4
Albania,ALB,2020-04-09,4
Albania,ALB,2020-04-10,4
Albania,ALB,2020-04-11,4
Albania,ALB,2020-04-12,4
Albania,ALB,2020-04-13,4
Albania,ALB,2020-04-14,4
Albania,ALB,2020-04-15,4
Albania,ALB,2020-04-16,4
Albania,ALB,2020-04-17,4
Albania,ALB,2020-04-18,4
Albania,ALB,2020-04-19,4
Albania,ALB,2020-04-20,4
Albania,ALB,2020-04-21,4
Albania,ALB,2020-04-22,4
Albania,ALB,2020-04-23,4
Albania,ALB,2020-04-24,4
Albania,ALB,2020-04-25,4
Albania,ALB,2020-04-26,4
Albania,ALB,2020-04-27,4
Albania,ALB,2020-04-28,4
Albania,ALB,2020-04-29,4
Albania,ALB,2020-04-30,4
Albania,ALB,2020-05-01,4
Albania,ALB,2020-05-02,4
Albania,ALB,2020-05-03,4
Albania,ALB,2020-05-04,4
Albania,ALB,2020-05-05,4
Albania,ALB,2020-05-06,4
Albania,ALB,2020-05-07,4
Albania,ALB,2020-05-08,4
Albania,ALB,2020-05-09,4
Albania,ALB,2020-05-10,4
Albania,ALB,2020-05-11,4
Albania,ALB,2020-05-12,4
Albania,ALB,2020-05-13,4
Albania,ALB,2020-05-14,4
Albania,ALB,2020-05-15,4
Albania,ALB,2020-05-16,4
Albania,ALB,2020-05-17,4
Albania,ALB,2020-05-18,4
Albania,ALB,2020-05-19,4
Albania,ALB,2020-05-20,4
Albania,ALB,2020-05-21,4
Albania,ALB,2020-05-22,4
Albania,ALB,2020-05-23,4
Albania,ALB,2020-05-24,4
Albania,ALB,2020-05-25,4
Albania,ALB,2020-05-26,4
Albania,ALB,2020-05-27,4
Albania,ALB,2020-05-28,4
Albania,ALB,2020-05-29,4
Albania,ALB,2020-05-30,4
Albania,ALB,2020-05-31,4
Albania,ALB,2020-06-01,3
Albania,ALB,2020-06-02,3
Albania,ALB,2020-06-03,3
Albania,ALB,2020-06-04,3
Albania,ALB,2020-06-05,3
Albania,ALB,2020-06-06,3
Albania,ALB,2020-06-07,3
Albania,ALB,2020-06-08,3
Albania,ALB,2020-06-09,3
Albania,ALB,2020-06-10,3
Albania,ALB,2020-06-11,3
Albania,ALB,2020-06-12,3
Albania,ALB,2020-06-13,3
Albania,ALB,2020-06-14,3
Albania,ALB,2020-06-15,3
Albania,ALB,2020-06-16,3
Albania,ALB,2020-06-17,3
Albania,ALB,2020-06-18,3
Albania,ALB,2020-06-19,3
Albania,ALB,2020-06-20,3
Albania,ALB,2020-06-21,3
Albania,ALB,2020-06-22,2
Albania,ALB,2020-06-23,2
Albania,ALB,2020-06-24,2
Albania,ALB,2020-06-25,2
Albania,ALB,2020-06-26,2
Albania,ALB,2020-06-27,2
Albania,ALB,2020-06-28,2
Albania,ALB,2020-06-29,2
Albania,ALB,2020-06-30,2
Albania,ALB,2020-07-01,2
Albania,ALB,2020-07-02,2
Albania,ALB,2020-07-03,2
Albania,ALB,2020-07-04,2
Albania,ALB,2020-07-05,2
Albania,ALB,2020-07-06,2
Albania,ALB,2020-07-07,2
Albania,ALB,2020-07-08,2
Albania,ALB,2020-07-09,2
Albania,ALB,2020-07-10,2
Albania,ALB,2020-07-11,2
Albania,ALB,2020-07-12,2
Albania,ALB,2020-07-13,2
Albania,ALB,2020-07-14,2
Albania,ALB,2020-07-15,2
Albania,ALB,2020-07-16,2
Albania,ALB,2020-07-17,2
Albania,ALB,2020-07-18,2
Albania,ALB,2020-07-19,2
Albania,ALB,2020-07-20,2
Albania,ALB,2020-07-21,2
Albania,ALB,2020-07-22,2
Albania,ALB,2020-07-23,2
Albania,ALB,2020-07-24,2
Albania,ALB,2020-07-25,2
Albania,ALB,2020-07-26,2
Albania,ALB,2020-07-27,2
Albania,ALB,2020-07-28,2
Albania,ALB,2020-07-29,2
Albania,ALB,2020-07-30,2
Albania,ALB,2020-07-31,2
Albania,ALB,2020-08-01,2
Albania,ALB,2020-08-02,2
Albania,ALB,2020-08-03,2
Albania,ALB,2020-08-04,2
Albania,ALB,2020-08-05,2
Albania,ALB,2020-08-06,2
Albania,ALB,2020-08-07,2
Albania,ALB,2020-08-08,2
Albania,ALB,2020-08-09,2
Albania,ALB,2020-08-10,2
Albania,ALB,2020-08-11,2
Albania,ALB,2020-08-12,2
Albania,ALB,2020-08-13,2
Albania,ALB,2020-08-14,2
Albania,ALB,2020-08-15,2
Albania,ALB,2020-08-16,2
Albania,ALB,2020-08-17,2
Albania,ALB,2020-08-18,2
Albania,ALB,2020-08-19,2
Albania,ALB,2020-08-20,2
Albania,ALB,2020-08-21,2
Albania,ALB,2020-08-22,2
Albania,ALB,2020-08-23,2
Albania,ALB,2020-08-24,2
Albania,ALB,2020-08-25,2
Albania,ALB,2020-08-26,2
Albania,ALB,2020-08-27,2
Albania,ALB,2020-08-28,1
Albania,ALB,2020-08-29,1
Albania,ALB,2020-08-30,1
Albania,ALB,2020-08-31,1
Albania,ALB,2020-09-01,1
Albania,ALB,2020-09-02,1
Albania,ALB,2020-09-03,1
Albania,ALB,2020-09-04,1
Albania,ALB,2020-09-05,1
Albania,ALB,2020-09-06,1
Albania,ALB,2020-09-07,1
Albania,ALB,2020-09-08,1
Albania,ALB,2020-09-09,1
Albania,ALB,2020-09-10,1
Albania,ALB,2020-09-11,1
Albania,ALB,2020-09-12,1
Albania,ALB,2020-09-13,1
Albania,ALB,2020-09-14,1
Albania,ALB,2020-09-15,1
Albania,ALB,2020-09-16,1
Albania,ALB,2020-09-17,1
Albania,ALB,2020-09-18,1
Albania,ALB,2020-09-19,1
Albania,ALB,2020-09-20,1
Albania,ALB,2020-09-21,1
Albania,ALB,2020-09-22,1
Albania,ALB,2020-09-23,1
Albania,ALB,2020-09-24,1
Albania,ALB,2020-09-25,1
Albania,ALB,2020-09-26,1
Albania,ALB,2020-09-27,1
Albania,ALB,2020-09-28,1
Albania,ALB,2020-09-29,1
Albania,ALB,2020-09-30,1
Albania,ALB,2020-10-01,1
Albania,ALB,2020-10-02,1
Albania,ALB,2020-10-03,1
Albania,ALB,2020-10-04,1
Albania,ALB,2020-10-05,1
Albania,ALB,2020-10-06,1
Albania,ALB,2020-10-07,1
Albania,ALB,2020-10-08,1
Albania,ALB,2020-10-09,1
Albania,ALB,2020-10-10,1
Albania,ALB,2020-10-11,1
Albania,ALB,2020-10-12,1
Albania,ALB,2020-10-13,1
Albania,ALB,2020-10-14,1
Albania,ALB,2020-10-15,1
Albania,ALB,2020-10-16,1
Albania,ALB,2020-10-17,1
Albania,ALB,2020-10-18,1
Albania,ALB,2020-10-19,1
Albania,ALB,2020-10-20,1
Albania,ALB,2020-10-21,1
Albania,ALB,2020-10-22,1
Albania,ALB,2020-10-23,1
Albania,ALB,2020-10-24,1
Albania,ALB,2020-10-25,1
Albania,ALB,2020-10-26,1
Albania,ALB,2020-10-27,1
Albania,ALB,2020-10-28,1
Albania,ALB,2020-10-29,1
Albania,ALB,2020-10-30,1
Albania,ALB,2020-10-31,1
Albania,ALB,2020-11-01,1
Albania,ALB,2020-11-02,1
Albania,ALB,2020-11-03,1
Albania,ALB,2020-11-04,1
Albania,ALB,2020-11-05,1
Albania,ALB,2020-11-06,1
Albania,ALB,2020-11-07,1
Albania,ALB,2020-11-08,1
Albania,ALB,2020-11-09,1
Albania,ALB,2020-11-10,1
Albania,ALB,2020-11-11,1
Albania,ALB,2020-11-12,1
Albania,ALB,2020-11-13,1
Albania,ALB,2020-11-14,1
Albania,ALB,2020-11-15,1
Albania,ALB,2020-11-16,1
Albania,ALB,2020-11-17,1
Albania,ALB,2020-11-18,1
Albania,ALB,2020-11-19,1
Algeria,DZA,2020-01-01,0
Algeria,DZA,2020-01-02,0
Algeria,DZA,2020-01-03,0
Algeria,DZA,2020-01-04,0
Algeria,DZA,2020-01-05,0
Algeria,DZA,2020-01-06,0
Algeria,DZA,2020-01-07,0
Algeria,DZA,2020-01-08,0
Algeria,DZA,2020-01-09,0
Algeria,DZA,2020-01-10,0
Algeria,DZA,2020-01-11,0
Algeria,DZA,2020-01-12,0
Algeria,DZA,2020-01-13,0
Algeria,DZA,2020-01-14,0
Algeria,DZA,2020-01-15,0
Algeria,DZA,2020-01-16,0
Algeria,DZA,2020-01-17,0
Algeria,DZA,2020-01-18,0
Algeria,DZA,2020-01-19,0
Algeria,DZA,2020-01-20,0
Algeria,DZA,2020-01-21,0
Algeria,DZA,2020-01-22,0
Algeria,DZA,2020-01-23,0
Algeria,DZA,2020-01-24,0
Algeria,DZA,2020-01-25,0
Algeria,DZA,2020-01-26,0
Algeria,DZA,2020-01-27,0
Algeria,DZA,2020-01-28,0
Algeria,DZA,2020-01-29,0
Algeria,DZA,2020-01-30,0
Algeria,DZA,2020-01-31,0
Algeria,DZA,2020-02-01,0
Algeria,DZA,2020-02-02,0
Algeria,DZA,2020-02-03,0
Algeria,DZA,2020-02-04,0
Algeria,DZA,2020-02-05,0
Algeria,DZA,2020-02-06,0
Algeria,DZA,2020-02-07,0
Algeria,DZA,2020-02-08,0
Algeria,DZA,2020-02-09,0
Algeria,DZA,2020-02-10,0
Algeria,DZA,2020-02-11,0
Algeria,DZA,2020-02-12,0
Algeria,DZA,2020-02-13,0
Algeria,DZA,2020-02-14,0
Algeria,DZA,2020-02-15,0
Algeria,DZA,2020-02-16,0
Algeria,DZA,2020-02-17,0
Algeria,DZA,2020-02-18,0
Algeria,DZA,2020-02-19,0
Algeria,DZA,2020-02-20,0
Algeria,DZA,2020-02-21,0
Algeria,DZA,2020-02-22,0
Algeria,DZA,2020-02-23,0
Algeria,DZA,2020-02-24,0
Algeria,DZA,2020-02-25,0
Algeria,DZA,2020-02-26,0
Algeria,DZA,2020-02-27,0
Algeria,DZA,2020-02-28,0
Algeria,DZA,2020-02-29,0
Algeria,DZA,2020-03-01,0
Algeria,DZA,2020-03-02,0
Algeria,DZA,2020-03-03,0
Algeria,DZA,2020-03-04,0
Algeria,DZA,2020-03-05,0
Algeria,DZA,2020-03-06,0
Algeria,DZA,2020-03-07,0
Algeria,DZA,2020-03-08,0
Algeria,DZA,2020-03-09,0
Algeria,DZA,2020-03-10,0
Algeria,DZA,2020-03-11,0
Algeria,DZA,2020-03-12,1
Algeria,DZA,2020-03-13,1
Algeria,DZA,2020-03-14,3
Algeria,DZA,2020-03-15,3
Algeria,DZA,2020-03-16,3
Algeria,DZA,2020-03-17,4
Algeria,DZA,2020-03-18,4
Algeria,DZA,2020-03-19,4
Algeria,DZA,2020-03-20,4
Algeria,DZA,2020-03-21,4
Algeria,DZA,2020-03-22,4
Algeria,DZA,2020-03-23,4
Algeria,DZA,2020-03-24,4
Algeria,DZA,2020-03-25,4
Algeria,DZA,2020-03-26,4
Algeria,DZA,2020-03-27,4
Algeria,DZA,2020-03-28,4
Algeria,DZA,2020-03-29,4
Algeria,DZA,2020-03-30,4
Algeria,DZA,2020-03-31,4
Algeria,DZA,2020-04-01,4
Algeria,DZA,2020-04-02,4
Algeria,DZA,2020-04-03,4
Algeria,DZA,2020-04-04,4
Algeria,DZA,2020-04-05,4
Algeria,DZA,2020-04-06,4
Algeria,DZA,2020-04-07,4
Algeria,DZA,2020-04-08,4
Algeria,DZA,2020-04-09,4
Algeria,DZA,2020-04-10,4
Algeria,DZA,2020-04-11,4
Algeria,DZA,2020-04-12,4
Algeria,DZA,2020-04-13,4
Algeria,DZA,2020-04-14,4
Algeria,DZA,2020-04-15,4
Algeria,DZA,2020-04-16,4
Algeria,DZA,2020-04-17,4
