"","Country","Year","5P","25P","AVG/50P","75P","95P"
"176","Spain",2019,394,467,511,559,614
"177","Spain",2015,399,474,518,566,626
"178","Spain",2011,378,458,505,556,620
"179","Sweden",2019,409,490,537,588,652
"180","Sweden",2015,410,496,540,591,652
"181","Sweden",2011,403,486,533,586,648
"182","Sweden",2007,400,478,525,575,642
"183","United Arab Emirates",2019,273,395,473,557,641
"184","United Arab Emirates",2015,242,365,451,541,636
"185","United Arab Emirates",2011,238,350,428,507,604
"186","United States",2019,387,486,539,598,664
"187","United States",2015,404,495,546,602,669
"188","United States",2011,406,494,544,599,666
"189","United States",2007,392,484,539,597,668
"190","United States",2003,393,484,536,592,661
"191","United States",1995,376,484,542,607,683
