"Nazwa","Miesi¹ce","Rodzaje dzia³alnoœci","Wartosc"
"LUBUSKIE","kwiecieñ","¿ywnoœæ, napoje i wyroby tytoniowe","88.8"
"LUBUSKIE","kwiecieñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","57"
"LUBUSKIE","maj","paliwa sta³e, ciek³e i gazowe","27.6"
"LUBUSKIE","maj","¿ywnoœæ, napoje i wyroby tytoniowe","92.6"
"LUBUSKIE","maj","farmaceutyki, kosmetyki, sprzêt ortopedyczny","49.4"
"LUBUSKIE","czerwiec","paliwa sta³e, ciek³e i gazowe","66.2"
"LUBUSKIE","czerwiec","¿ywnoœæ, napoje i wyroby tytoniowe","109.9"
"LUBUSKIE","czerwiec","farmaceutyki, kosmetyki, sprzêt ortopedyczny","119.7"
"LUBUSKIE","lipiec","paliwa sta³e, ciek³e i gazowe","86.2"
"LUBUSKIE","lipiec","¿ywnoœæ, napoje i wyroby tytoniowe","110.6"
"LUBUSKIE","lipiec","farmaceutyki, kosmetyki, sprzêt ortopedyczny","54.9"
"LUBUSKIE","sierpieñ","paliwa sta³e, ciek³e i gazowe","87.1"
"LUBUSKIE","sierpieñ","¿ywnoœæ, napoje i wyroby tytoniowe","107.4"
"LUBUSKIE","sierpieñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","52.2"
"LUBUSKIE","wrzesieñ","paliwa sta³e, ciek³e i gazowe","86.7"
"LUBUSKIE","wrzesieñ","¿ywnoœæ, napoje i wyroby tytoniowe","107.7"
"LUBUSKIE","wrzesieñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","52.8"
"LUBUSKIE","paŸdziernik","paliwa sta³e, ciek³e i gazowe","70.7"
"LUBUSKIE","paŸdziernik","¿ywnoœæ, napoje i wyroby tytoniowe","90.3"
"LUBUSKIE","paŸdziernik","farmaceutyki, kosmetyki, sprzêt ortopedyczny","22"
"£ÓDZKIE","styczeñ","paliwa sta³e, ciek³e i gazowe","125.1"
"£ÓDZKIE","styczeñ","¿ywnoœæ, napoje i wyroby tytoniowe","104.4"
"£ÓDZKIE","styczeñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","107.9"
"£ÓDZKIE","luty","paliwa sta³e, ciek³e i gazowe","138.1"
"£ÓDZKIE","luty","¿ywnoœæ, napoje i wyroby tytoniowe","109.4"
"£ÓDZKIE","luty","farmaceutyki, kosmetyki, sprzêt ortopedyczny","113.2"
"£ÓDZKIE","marzec","paliwa sta³e, ciek³e i gazowe","114.9"
"£ÓDZKIE","marzec","¿ywnoœæ, napoje i wyroby tytoniowe","109.9"
"£ÓDZKIE","marzec","farmaceutyki, kosmetyki, sprzêt ortopedyczny","103.8"
"£ÓDZKIE","kwiecieñ","paliwa sta³e, ciek³e i gazowe","85.3"
"£ÓDZKIE","kwiecieñ","¿ywnoœæ, napoje i wyroby tytoniowe","94.1"
"£ÓDZKIE","kwiecieñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","78.4"
"£ÓDZKIE","maj","paliwa sta³e, ciek³e i gazowe","103"
"£ÓDZKIE","maj","¿ywnoœæ, napoje i wyroby tytoniowe","94.6"
"£ÓDZKIE","maj","farmaceutyki, kosmetyki, sprzêt ortopedyczny","99.7"
"£ÓDZKIE","czerwiec","paliwa sta³e, ciek³e i gazowe","116.6"
"£ÓDZKIE","czerwiec","¿ywnoœæ, napoje i wyroby tytoniowe","98.2"
"£ÓDZKIE","czerwiec","farmaceutyki, kosmetyki, sprzêt ortopedyczny","95.7"
"£ÓDZKIE","lipiec","paliwa sta³e, ciek³e i gazowe","127.3"
"£ÓDZKIE","lipiec","¿ywnoœæ, napoje i wyroby tytoniowe","101.5"
"£ÓDZKIE","lipiec","farmaceutyki, kosmetyki, sprzêt ortopedyczny","106.8"
"£ÓDZKIE","sierpieñ","paliwa sta³e, ciek³e i gazowe","123.5"
"£ÓDZKIE","sierpieñ","¿ywnoœæ, napoje i wyroby tytoniowe","95.7"
"£ÓDZKIE","sierpieñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","104.8"
"£ÓDZKIE","wrzesieñ","paliwa sta³e, ciek³e i gazowe","123.5"
"£ÓDZKIE","wrzesieñ","¿ywnoœæ, napoje i wyroby tytoniowe","102.2"
"£ÓDZKIE","wrzesieñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","97.8"
"£ÓDZKIE","paŸdziernik","paliwa sta³e, ciek³e i gazowe","121.1"
"£ÓDZKIE","paŸdziernik","¿ywnoœæ, napoje i wyroby tytoniowe","97.1"
"£ÓDZKIE","paŸdziernik","farmaceutyki, kosmetyki, sprzêt ortopedyczny","111.1"
"MA£OPOLSKIE","styczeñ","paliwa sta³e, ciek³e i gazowe","107.9"
"MA£OPOLSKIE","styczeñ","¿ywnoœæ, napoje i wyroby tytoniowe","88.5"
"MA£OPOLSKIE","styczeñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","108.4"
"MA£OPOLSKIE","luty","paliwa sta³e, ciek³e i gazowe","103"
"MA£OPOLSKIE","luty","¿ywnoœæ, napoje i wyroby tytoniowe","88.1"
"MA£OPOLSKIE","luty","farmaceutyki, kosmetyki, sprzêt ortopedyczny","110.1"
"MA£OPOLSKIE","marzec","paliwa sta³e, ciek³e i gazowe","78.3"
"MA£OPOLSKIE","marzec","¿ywnoœæ, napoje i wyroby tytoniowe","100.7"
"MA£OPOLSKIE","marzec","farmaceutyki, kosmetyki, sprzêt ortopedyczny","120.4"
"MA£OPOLSKIE","kwiecieñ","paliwa sta³e, ciek³e i gazowe","48.8"
"MA£OPOLSKIE","kwiecieñ","¿ywnoœæ, napoje i wyroby tytoniowe","76.7"
"MA£OPOLSKIE","kwiecieñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","107.4"
"MA£OPOLSKIE","maj","paliwa sta³e, ciek³e i gazowe","57.8"
"MA£OPOLSKIE","maj","¿ywnoœæ, napoje i wyroby tytoniowe","82.5"
"MA£OPOLSKIE","maj","farmaceutyki, kosmetyki, sprzêt ortopedyczny","92.2"
"MA£OPOLSKIE","czerwiec","paliwa sta³e, ciek³e i gazowe","69.5"
"MA£OPOLSKIE","czerwiec","¿ywnoœæ, napoje i wyroby tytoniowe","78.7"
"MA£OPOLSKIE","czerwiec","farmaceutyki, kosmetyki, sprzêt ortopedyczny","95.5"
"MA£OPOLSKIE","lipiec","paliwa sta³e, ciek³e i gazowe","83.5"
"MA£OPOLSKIE","lipiec","¿ywnoœæ, napoje i wyroby tytoniowe","84.4"
"MA£OPOLSKIE","lipiec","farmaceutyki, kosmetyki, sprzêt ortopedyczny","104.7"
"MA£OPOLSKIE","sierpieñ","paliwa sta³e, ciek³e i gazowe","84.7"
"MA£OPOLSKIE","sierpieñ","¿ywnoœæ, napoje i wyroby tytoniowe","78.7"
"MA£OPOLSKIE","sierpieñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","108.2"
"MA£OPOLSKIE","wrzesieñ","paliwa sta³e, ciek³e i gazowe","82.9"
"MA£OPOLSKIE","wrzesieñ","¿ywnoœæ, napoje i wyroby tytoniowe","92.4"
"MA£OPOLSKIE","wrzesieñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","112.7"
"MA£OPOLSKIE","paŸdziernik","paliwa sta³e, ciek³e i gazowe","75.2"
"MA£OPOLSKIE","paŸdziernik","¿ywnoœæ, napoje i wyroby tytoniowe","93"
"MA£OPOLSKIE","paŸdziernik","farmaceutyki, kosmetyki, sprzêt ortopedyczny","112.5"
"MAZOWIECKIE","styczeñ","paliwa sta³e, ciek³e i gazowe","0"
"MAZOWIECKIE","styczeñ","¿ywnoœæ, napoje i wyroby tytoniowe","111.8"
"MAZOWIECKIE","styczeñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","103.5"
"MAZOWIECKIE","luty","paliwa sta³e, ciek³e i gazowe","109"
"MAZOWIECKIE","luty","¿ywnoœæ, napoje i wyroby tytoniowe","112.7"
"MAZOWIECKIE","luty","farmaceutyki, kosmetyki, sprzêt ortopedyczny","110.2"
"MAZOWIECKIE","marzec","paliwa sta³e, ciek³e i gazowe","86.8"
"MAZOWIECKIE","marzec","¿ywnoœæ, napoje i wyroby tytoniowe","113.3"
"MAZOWIECKIE","marzec","farmaceutyki, kosmetyki, sprzêt ortopedyczny","89.6"
"MAZOWIECKIE","kwiecieñ","paliwa sta³e, ciek³e i gazowe","59"
"MAZOWIECKIE","kwiecieñ","¿ywnoœæ, napoje i wyroby tytoniowe","86.4"
"MAZOWIECKIE","kwiecieñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","69.2"
"MAZOWIECKIE","maj","paliwa sta³e, ciek³e i gazowe","67.9"
"MAZOWIECKIE","maj","¿ywnoœæ, napoje i wyroby tytoniowe","96.3"
"MAZOWIECKIE","maj","farmaceutyki, kosmetyki, sprzêt ortopedyczny","84.3"
"MAZOWIECKIE","czerwiec","paliwa sta³e, ciek³e i gazowe","76.3"
"MAZOWIECKIE","czerwiec","¿ywnoœæ, napoje i wyroby tytoniowe","97.6"
"MAZOWIECKIE","czerwiec","farmaceutyki, kosmetyki, sprzêt ortopedyczny","90.1"
"MAZOWIECKIE","lipiec","paliwa sta³e, ciek³e i gazowe","86.3"
"MAZOWIECKIE","lipiec","¿ywnoœæ, napoje i wyroby tytoniowe","100.7"
"MAZOWIECKIE","lipiec","farmaceutyki, kosmetyki, sprzêt ortopedyczny","105.8"
"MAZOWIECKIE","sierpieñ","paliwa sta³e, ciek³e i gazowe","90.1"
"MAZOWIECKIE","sierpieñ","¿ywnoœæ, napoje i wyroby tytoniowe","97.9"
"MAZOWIECKIE","sierpieñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","102.7"
"MAZOWIECKIE","wrzesieñ","paliwa sta³e, ciek³e i gazowe","89.3"
"MAZOWIECKIE","wrzesieñ","¿ywnoœæ, napoje i wyroby tytoniowe","100.4"
"MAZOWIECKIE","wrzesieñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","110.1"
"MAZOWIECKIE","paŸdziernik","paliwa sta³e, ciek³e i gazowe","81"
"MAZOWIECKIE","paŸdziernik","¿ywnoœæ, napoje i wyroby tytoniowe","94"
"MAZOWIECKIE","paŸdziernik","farmaceutyki, kosmetyki, sprzêt ortopedyczny","96.8"
"OPOLSKIE","styczeñ","paliwa sta³e, ciek³e i gazowe","103.3"
"OPOLSKIE","styczeñ","¿ywnoœæ, napoje i wyroby tytoniowe","113.8"
"OPOLSKIE","styczeñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","142.1"
"OPOLSKIE","luty","paliwa sta³e, ciek³e i gazowe","104.6"
"OPOLSKIE","luty","¿ywnoœæ, napoje i wyroby tytoniowe","117.2"
"OPOLSKIE","luty","farmaceutyki, kosmetyki, sprzêt ortopedyczny","130.6"
"OPOLSKIE","marzec","paliwa sta³e, ciek³e i gazowe","91.5"
"OPOLSKIE","marzec","¿ywnoœæ, napoje i wyroby tytoniowe","117.2"
"OPOLSKIE","marzec","farmaceutyki, kosmetyki, sprzêt ortopedyczny","119.6"
"OPOLSKIE","kwiecieñ","paliwa sta³e, ciek³e i gazowe","51.1"
"OPOLSKIE","kwiecieñ","¿ywnoœæ, napoje i wyroby tytoniowe","102.9"
"OPOLSKIE","kwiecieñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","115.4"
"OPOLSKIE","maj","paliwa sta³e, ciek³e i gazowe","64.7"
"OPOLSKIE","maj","¿ywnoœæ, napoje i wyroby tytoniowe","106.3"
"OPOLSKIE","maj","farmaceutyki, kosmetyki, sprzêt ortopedyczny","107.1"
"OPOLSKIE","czerwiec","paliwa sta³e, ciek³e i gazowe","64"
"OPOLSKIE","czerwiec","¿ywnoœæ, napoje i wyroby tytoniowe","106.6"
"OPOLSKIE","czerwiec","farmaceutyki, kosmetyki, sprzêt ortopedyczny","115.1"
"OPOLSKIE","lipiec","paliwa sta³e, ciek³e i gazowe","78.8"
"OPOLSKIE","lipiec","¿ywnoœæ, napoje i wyroby tytoniowe","105.9"
"OPOLSKIE","lipiec","farmaceutyki, kosmetyki, sprzêt ortopedyczny","118.8"
"OPOLSKIE","sierpieñ","paliwa sta³e, ciek³e i gazowe","120.1"
"OPOLSKIE","sierpieñ","¿ywnoœæ, napoje i wyroby tytoniowe","101.7"
"OPOLSKIE","sierpieñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","127.3"
"OPOLSKIE","wrzesieñ","paliwa sta³e, ciek³e i gazowe","105.4"
"OPOLSKIE","wrzesieñ","¿ywnoœæ, napoje i wyroby tytoniowe","108.9"
"OPOLSKIE","wrzesieñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","133"
"OPOLSKIE","paŸdziernik","paliwa sta³e, ciek³e i gazowe","108.9"
"OPOLSKIE","paŸdziernik","¿ywnoœæ, napoje i wyroby tytoniowe","102.3"
"OPOLSKIE","paŸdziernik","farmaceutyki, kosmetyki, sprzêt ortopedyczny","135"
"PODKARPACKIE","styczeñ","paliwa sta³e, ciek³e i gazowe","0"
"PODKARPACKIE","styczeñ","¿ywnoœæ, napoje i wyroby tytoniowe","112.4"
"PODKARPACKIE","styczeñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","101.4"
"PODKARPACKIE","luty","paliwa sta³e, ciek³e i gazowe","0"
"PODKARPACKIE","luty","¿ywnoœæ, napoje i wyroby tytoniowe","116.4"
"PODKARPACKIE","luty","farmaceutyki, kosmetyki, sprzêt ortopedyczny","105.7"
"PODKARPACKIE","marzec","paliwa sta³e, ciek³e i gazowe","0"
"PODKARPACKIE","marzec","¿ywnoœæ, napoje i wyroby tytoniowe","115.4"
"PODKARPACKIE","marzec","farmaceutyki, kosmetyki, sprzêt ortopedyczny","115.8"
"PODKARPACKIE","kwiecieñ","paliwa sta³e, ciek³e i gazowe","0"
"PODKARPACKIE","kwiecieñ","¿ywnoœæ, napoje i wyroby tytoniowe","101.8"
"PODKARPACKIE","kwiecieñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","84.3"
"PODKARPACKIE","maj","paliwa sta³e, ciek³e i gazowe","0"
"PODKARPACKIE","maj","¿ywnoœæ, napoje i wyroby tytoniowe","102.4"
"PODKARPACKIE","maj","farmaceutyki, kosmetyki, sprzêt ortopedyczny","80.4"
"PODKARPACKIE","czerwiec","paliwa sta³e, ciek³e i gazowe","0"
"PODKARPACKIE","czerwiec","¿ywnoœæ, napoje i wyroby tytoniowe","101.6"
"PODKARPACKIE","czerwiec","farmaceutyki, kosmetyki, sprzêt ortopedyczny","85.6"
"PODKARPACKIE","lipiec","paliwa sta³e, ciek³e i gazowe","0"
"PODKARPACKIE","lipiec","¿ywnoœæ, napoje i wyroby tytoniowe","106"
"PODKARPACKIE","lipiec","farmaceutyki, kosmetyki, sprzêt ortopedyczny","91.1"
"PODKARPACKIE","sierpieñ","paliwa sta³e, ciek³e i gazowe","0"
"PODKARPACKIE","sierpieñ","¿ywnoœæ, napoje i wyroby tytoniowe","102.9"
"PODKARPACKIE","sierpieñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","90.8"
"PODKARPACKIE","wrzesieñ","paliwa sta³e, ciek³e i gazowe","0"
"PODKARPACKIE","wrzesieñ","¿ywnoœæ, napoje i wyroby tytoniowe","108.6"
"PODKARPACKIE","wrzesieñ","farmaceutyki, kosmetyki, sprzêt ortopedyczny","93"
"PODKARPACKIE","paŸdziernik","paliwa sta³e, ciek³e i gazowe","0"
