"","word","freq"
"450","hi-nrg",14
"451","jazz funk",14
"452","nashville sound",14
"453","palm desert scene",14
"454","popwave",14
"455","psychedelic hip hop",14
"456","reading indie",14
"457","stride",14
"458","synth funk",14
"459","turkish alternative rock",14
"460","afrofuturism",13
"461","australian indie folk",13
"462","breakbeat",13
"463","classical",13
"464","electro swing",13
"465","g funk",13
"466","indie electropop",13
"467","polish blues",13
"468","reggaeton flow",13
"469","swedish psychedelic rock",13
"470","uk alternative hip hop",13
"471","uk dance",13
"472","australian indie rock",12
"473","australian pop",12
"474","austrian pop",12
"475","bboy",12
"476","candy pop",12
"477","country",12
"478","desi hip hop",12
"479","drill and bass",12
"480","ghent indie",12
"481","grand rapids indie",12
"482","jangle pop",12
"483","japanese psychedelic",12
"484","japanese psychedelic rock",12
"485","jazz trio",12
"486","neo r&b",12
"487","norwegian pop",12
"488","outlaw country",12
"489","pixie",12
"490","portland indie",12
"491","portuguese indie",12
"492","proto-techno",12
"493","psych gaze",12
"494","rave",12
"495","russian hip hop",12
"496","torch song",12
"497","turkish psych",12
"498","vocal harmony group",12
"499","wave",12
"500","alternative americana",11
"501","auckland indie",11
"502","brostep",11
"503","classic japanese jazz",11
"504","contemporary country",11
"505","detroit indie",11
"506","dutch indie rock",11
"507","horror synth",11
"508","indian electronic",11
"509","indian indie",11
"510","industrial metal",11
"511","minneapolis sound",11
"512","modern alternative pop",11
"513","nederpop",11
"514","neo-psicodelia brasileira",11
"515","new delhi indie",11
"516","quiet storm",11
"517","russian electronic",11
"518","scottish indie",11
"519","ska",11
"520","supergroup",11
"521","ukrainian pop",11
"522","bubblegum dance",10
"523","classic russian rock",10
"524","czech folk",10
"525","danish alternative rock",10
"526","dark jazz",10
"527","denton tx indie",10
"528","detroit hip hop",10
"529","disco polo",10
"530","electrofox",10
"531","francoton",10
"532","german alternative rock",10
"533","german pop rock",10
"534","gothic symphonic metal",10
"535","indie punk",10
"536","latin hip hop",10
"537","latin rock",10
"538","mexican indie",10
"539","modular synth",10
"540","montreal indie",10
"541","moog",10
"542","nantes indie",10
"543","outsider",10
"544","popgaze",10
"545","progressive electro house",10
"546","pub rock",10
"547","regional mexican",10
"548","russian pop",10
"549","scorecore",10
"550","stomp pop",10
"551","stoner metal",10
"552","surf punk",10
"553","svensk progg",10
"554","swedish prog",10
"555","washington indie",10
"556","azontobeats",9
"557","bouncy house",9
"558","boy band",9
"559","brazilian soul",9
"560","bronx hip hop",9
"561","classic italian pop",9
"562","deep adult standards",9
"563","dutch edm",9
"564","gothic rock",9
"565","grime",9
"566","icelandic pop",9
"567","korean r&b",9
"568","late romantic era",9
"569","metalcore",9
"570","miami indie",9
"571","ontario indie",9
"572","polish jazz",9
"573","post-minimalism",9
"574","show tunes",9
"575","vocal house",9
"576","anime score",8
"577","australian house",8
"578","brazilian boogie",8
"579","bristol indie",8
"580","british alternative rock",8
"581","british blues",8
"582","british soul",8
"583","canadian electronic",8
"584","canadian electropop",8
"585","chiptune",8
"586","classic danish pop",8
"587","corrido",8
"588","corridos tumbados",8
"589","deep gothic post-punk",8
"590","dusseldorf electronic",8
"591","dutch rock",8
"592","early synthpop",8
"593","experimental hip hop",8
"594","fourth world",8
"595","free jazz",8
"596","hip house",8
"597","hip pop",8
"598","italian post punk",8
"599","jam band",8
"600","jazz quartet",8
"601","leeds indie",8
"602","modern hard rock",8
"603","modern indie pop",8
"604","nuevo regional mexicano",8
"605","p funk",8
"606","polish prog",8
"607","rap rock",8
"608","reggae fusion",8
"609","retro soul",8
"610","sierreno",8
"611","small room",8
"612","soul jazz",8
"613","spacewave",8
"614","ambient idm",7
"615","australian alternative rock",7
"616","australian reggae fusion",7
"617","avant-garde jazz",7
"618","belgian indie rock",7
"619","british jazz",7
"620","charlotte nc indie",7
"621","chill pop",7
"622","deep talent show",7
"623","dreamo",7
"624","emo",7
"625","fluxwork",7
"626","german indie pop",7
"627","german punk",7
"628","greek downtempo",7
"629","italian jazz",7
"630","j-rock",7
"631","livetronica",7
"632","manchester indie",7
"633","musica para ninos",7
"634","neoclassical darkwave",7
"635","new jersey rap",7
"636","nigerian hip hop",7
"637","nigerian pop",7
"638","norwegian jazz",7
"639","nyc pop",7
"640","pittsburgh indie",7
"641","r&b en espanol",7
"642","rap chileno",7
"643","romanian pop",7
"644","sacramento indie",7
"645","scottish new wave",7
"646","shimmer psych",7
"647","space age pop",7
"648","swedish indie rock",7
"649","uwielbienie",7
"650","vintage schlager",7
"651","acoustic rock",6
"652","anthem worship",6
"653","bass house",6
"654","belgian techno",6
"655","british industrial",6
"656","chicago indie",6
"657","classic girl group",6
"658","collage pop",6
"659","country road",6
"660","danish indie pop",6
"661","danish jazz",6
"662","drone",6
"663","eastern bloc groove",6
"664","ebm",6
"665","ethereal wave",6
"666","german dance",6
"667","german house",6
"668","german jazz",6
"669","israeli indie",6
"670","italian tech house",6
"671","krautrock",6
"672","leicester indie",6
"673","lo-fi brasileiro",6
"674","melodic rap",6
"675","minimal dub",6
"676","movie tunes",6
"677","neue deutsche welle",6
"678","new orleans jazz",6
"679","new orleans rap",6
"680","norwegian contemporary jazz",6
"681","nouvelle chanson francaise",6
"682","oc indie",6
"683","old school thrash",6
"684","operetta",6
"685","puerto rican pop",6
"686","queens hip hop",6
"687","russian experimental electronic",6
"688","russian techno",6
"689","thrash metal",6
"690","uae indie",6
"691","ukrainian rock",6
"692","velha guarda",6
"693","acid techno",5
"694","albuquerque indie",5
"695","american post-rock",5
"696","bakersfield sound",5
"697","british post-rock",5
"698","chillstep",5
"699","cincinnati indie",5
"700","colombian pop",5
"701","complextro",5
"702","cosmic post-rock",5
"703","danish electronic",5
"704","danish indie",5
"705","dark techno",5
"706","denver indie",5
"707","didgeridoo",5
"708","drift",5
"709","experimental jazz",5
"710","french techno",5
"711","funk metal",5
"712","future house",5
"713","gaming edm",5
"714","german metal",5
"715","glitch beats",5
"716","icelandic electronic",5
"717","indie cafe pop",5
"718","indie emo",5
"719","instrumental funk",5
"720","instrumental post-rock",5
"721","irish singer-songwriter",5
"722","israeli pop",5
"723","italian adult pop",5
"724","italian alternative",5
"725","japanese alternative rock",5
"726","japanese classical",5
"727","jazz trumpet",5
"728","k-rap",5
"729","kansas indie",5
"730","latin alternative",5
"731","liquid funk",5
"732","lithuanian electronic",5
"733","lo-fi house",5
"734","mashup",5
"735","melbourne bounce international",5
"736","minneapolis indie",5
"737","montana indie",5
"738","neo-singer-songwriter",5
"739","neue deutsche harte",5
"740","norwegian rock",5
"741","norwegian singer-songwriter",5
"742","nova musica pernambucana",5
"743","outsider house",5
"744","philly soul",5
"745","pop reggaeton",5
"746","reggae",5
"747","rock drums",5
"748","roots americana",5
"749","roots reggae",5
"750","rva indie",5
"751","ska revival",5
"752","surf music",5
"753","swedish alternative rock",5
"754","swedish electronic",5
"755","swedish house",5
"756","swedish synth",5
"757","techno",5
"758","teen pop",5
"759","traprun",5
"760","turin indie",5
"761","twee pop",5
"762","uk hip hop",5
"763","ukrainian indie",5
"764","venezuelan rock",5
"765","vienna indie",5
"766","world fusion",5
"767","african rock",4
"768","alternative roots rock",4
"769","ambient folk",4
"770","anadolu rock",4
"771","basel indie",4
"772","bath indie",4
"773","belgian pop",4
"774","birmingham metal",4
"775","braindance",4
"776","broken beat",4
"777","c86",4
"778","calgary indie",4
"779","canadian americana",4
"780","canadian garage rock",4
"781","canadian modern jazz",4
"782","canadian psychedelic",4
"783","chilean indie",4
"784","chilean rock",4
"785","comic",4
"786","cosmic american",4
"787","dancehall",4
"788","deep big room",4
"789","deep techno",4
"790","drum and bass",4
"791","dutch experimental electronic",4
"792","etherpop",4
"793","ethnotronica",4
"794","experimental vocal",4
"795","fidget house",4
"796","folk metal",4
"797","french indie folk",4
"798","future ambient",4
"799","glam metal",4
"800","gothenburg indie",4
"801","grunge",4
"802","icelandic experimental",4
"803","idaho indie",4
"804","indie anthem-folk",4
"805","indie hip hop",4
"806","indiecoustica",4
"807","israeli rock",4
"808","israeli techno",4
"809","latintronica",4
"810","latinx alternative",4
"811","leipzig indie",4
"812","manitoba indie",4
"813","melodic metal",4
"814","meme rap",4
"815","mexican pop",4
"816","minimal tech house",4
"817","modern blues",4
"818","modern jazz piano",4
"819","modern power pop",4
"820","modern psychedelic folk",4
"821","modern southern rock",4
"822","nashville indie",4
"823","new orleans indie",4
"824","nordic folk metal",4
"825","nottingham indie",4
"826","ohio hip hop",4
"827","political hip hop",4
"828","post-disco",4
"829","post-metal",4
"830","progressive bluegrass",4
"831","progressive jazz fusion",4
"832","rap dominicano",4
"833","rock goiano",4
"834","russian edm",4
"835","russian shoegaze",4
"836","russian synthpop",4
"837","slavic folk metal",4
"838","socal indie",4
"839","soul flow",4
"840","south african electronic",4
"841","southern soul",4
"842","st louis rap",4
"843","swedish tropical house",4
"844","synthwave brasileiro",4
"845","tassie indie",4
"846","trance",4
"847","transpop",4
"848","trap queen",4
"849","tropical",4
"850","uk doom metal",4
"851","vancouver punk",4
"852","vapor pop",4
"853","vegas indie",4
"854","viking metal",4
"855","welsh indie",4
"856","acid house",3
"857","acousmatic",3
"858","alternative emo",3
"859","ambient techno",3
"860","american modern classical",3
"861","anthem emo",3
"862","antiviral pop",3
"863","argentine rock",3
"864","athens indie",3
"865","austin americana",3
"866","austropop",3
"867","bedroom soul",3
"868","bleep techno",3
"869","bluegrass",3
"870","british folk",3
"871","broadway",3
"872","c-pop",3
"873","cali rap",3
"874","canadian house",3
"875","canadian latin",3
"876","canadian punk",3
"877","cantopop",3
"878","ccm",3
"879","chinese indie",3
"880","christian uplift",3
"881","classic cantopop",3
"882","classic mandopop",3
"883","cologne electronic",3
"884","cologne indie",3
"885","dark wave",3
"886","deep soul house",3
"887","destroy techno",3
"888","dresden indie",3
"889","dusseldorf indie",3
"890","dutch r&b",3
"891","east anglia indie",3
"892","ethio-jazz",3
"893","exotica",3
"894","experimental folk",3
"895","experimental house",3
"896","experimental techno",3
"897","french hip hop",3
"898","futurepop",3
"899","german shoegaze",3
"900","gothic americana",3
"901","indie rock italiano",3
"902","instrumental grime",3
"903","instrumental rock",3
"904","italo dance",3
"905","j-indie",3
"906","japanese indie pop",3
"907","japanese soundtrack",3
"908","japanese vgm",3
"909","jazz blues",3
"910","jazz pop",3
"911","jazz rock",3
"912","k-rock",3
"913","korean punk",3
"914","latin soundtrack",3
"915","latin viral pop",3
"916","lithuanian indie",3
"917","lo-fi emo",3
"918","lund indie",3
"919","mandopop",3
"920","melbourne bounce",3
"921","melodic metalcore",3
"922","midwest emo",3
"923","minimal melodic techno",3
"924","minnesota hip hop",3
"925","neo-rockabilly",3
"926","new tribe",3
"927","nordic soundtrack",3
"928","nu-cumbia",3
"929","nueva cancion",3
"930","nz folk",3
"931","nz singer-songwriter",3
"932","okc indie",3
"933","omaha indie",3
"934","pop ambient",3
"935","pop electronico",3
"936","pop nacional",3
"937","pop r&b",3
"938","pop soul",3
"939","post-grunge",3
"940","psychedelic punk",3
"941","purple sound",3
"942","rap inde",3
"943","rap latina",3
"944","rhythm and blues",3
"945","rock steady",3
"946","roots worship",3
"947","russian dance",3
"948","russian indie rock",3
"949","russian modern classical",3
"950","scottish electronic",3
"951","serbian indie",3
"952","shibuya-kei",3
"953","skate punk",3
"954","south african hip hop",3
"955","south african pop",3
"956","south african rock",3
"957","spanish electronic",3
"958","straight-ahead jazz",3
"959","swedish hip hop",3
"960","swedish singer-songwriter",3
"961","sydney indie",3
"962","synth punk",3
"963","tucson indie",3
"964","turkish electronic",3
"965","vintage jazz",3
"966","violao",3
"967","viral rap",3
"968","wellington indie",3
"969","western mass indie",3
"970","world worship",3
"971","worship",3
"972","abstract",2
"973","adoracao",2
"974","african-american classical",2
"975","afro dancehall",2
"976","afro psych",2
"977","afrobeat brasileiro",2
"978","alabama indie",2
"979","ambient trance",2
"980","ann arbor indie",2
"981","argentine indie",2
"982","arkansas indie",2
"983","atl trap",2
"984","atlanta punk",2
"985","australian alternative pop",2
"986","australian singer-songwriter",2
"987","australian talent show",2
"988","azonto",2
"989","background music",2
"990","barbadian pop",2
"991","belarusian pop",2
"992","belgian jazz",2
"993","blackgaze",2
"994","brazilian gospel",2
"995","brazilian hip hop",2
"996","bristol electronic",2
"997","british soundtrack",2
"998","bury st edmunds indie",2
"999","canadian indie folk",2
"1000","canadian post-punk",2
"1001","canadian rock",2
"1002","cardiff indie",2
"1003","cello",2
"1004","celtic punk",2
"1005","channel islands indie",2
"1006","charlottesville indie",2
"1007","christian alternative rock",2
"1008","christian music",2
"1009","classic swedish pop",2
"1010","classical performance",2
"1011","classical trumpet",2
"1012","colombian indie",2
"1013","comedy rap",2
"1014","connecticut indie",2
"1015","corsican folk",2
"1016","country dawn",2
"1017","country rap",2
"1018","czech classical",2
"1019","danish electropop",2
"1020","danish pop",2
"1021","danish post-punk",2
"1022","dansband",2
"1023","danspunk",2
"1024","deathrock",2
"1025","deconstructed club",2
"1026","deep flow",2
"1027","deep latin alternative",2
"1028","dirty south rap",2
"1029","dmv rap",2
"1030","doom metal",2
"1031","dub brasileiro",2
"1032","dutch house",2
"1033","dutch pop",2
"1034","dutch tech house",2
"1035","early us punk",2
"1036","eau claire indie",2
"1037","electro trash",2
"1038","essex indie",2
"1039","eugene indie",2
"1040","final fantasy",2
"1041","finnish electro",2
"1042","finnish indie",2
"1043","forest psy",2
"1044","french romanticism",2
"1045","gaian doom",2
"1046","german romanticism",2
"1047","ghanaian hip hop",2
"1048","gothic metal",2
"1049","gregorian chant",2
"1050","gymcore",2
"1051","hard minimal techno",2
"1052","hardcore punk",2
"1053","hiplife",2
"1054","hopebeat",2
"1055","houston indie",2
"1056","houston rap",2
"1057","hungarian punk",2
"1058","indie catala",2
"1059","indie electronica",2
"1060","indie game soundtrack",2
"1061","indie rock mexicano",2
"1062","indie siciliano",2
"1063","indonesian edm",2
"1064","instrumental math rock",2
"1065","irish indie",2
"1066","israeli jazz",2
"1067","italian contemporary jazz",2
"1068","italian electronica",2
"1069","italian new wave",2
"1070","italogaze",2
"1071","japanese electropop",2
"1072","k-pop",2
"1073","latin arena pop",2
"1074","leipzig electronic",2
"1075","louisville indie",2
"1076","lovers rock",2
"1077","lullaby",2
"1078","malian blues",2
"1079","mariachi",2
"1080","math rock",2
"1081","melodic techno",2
"1082","mexican rock",2
"1083","middle earth",2
"1084","milan indie",2
"1085","modern country rock",2
"1086","musica campista",2
"1087","musica paraibana",2
"1088","neon pop punk",2
"1089","new age",2
"1090","northern irish indie",2
"1091","northern soul",2
"1092","norwegian doom metal",2
"1093","norwegian psychedelic",2
"1094","nuevo folklore argentino",2
"1095","nwobhm",2
"1096","old-time",2
"1097","pirate",2
"1098","post-romantic era",2
"1099","poznan indie",2
"1100","prepared piano",2
"1101","psicodelia mexicana",2
"1102","psychedelic folk",2
"1103","psychedelic folk rock",2
"1104","psychedelic jazz fusion",2
"1105","queer country",2
"1106","ragtime",2
"1107","ranchera",2
"1108","rare groove",2
"1109","retro metal",2
"1110","rock alternativo espanol",2
"1111","rock en espanol",2
"1112","rock paraibano",2
"1113","rome indie",2
"1114","russian chanson",2
"1115","russian dance pop",2
"1116","russian trap",2
"1117","samba de roda",2
"1118","samba reggae",2
"1119","saskatchewan indie",2
"1120","scottish hip hop",2
"1121","scottish singer-songwriter",2
"1122","sleep",2
"1123","smutny rap",2
"1124","soul blues",2
"1125","spanish indie pop",2
"1126","spanish modern rock",2
"1127","spanish noise pop",2
"1128","spanish psychedelic rock",2
"1129","speed metal",2
"1130","steel guitar",2
"1131","substep",2
"1132","swedish hard rock",2
"1133","swedish indie folk",2
"1134","swedish melodic rock",2
"1135","swiss alternative rock",2
"1136","texas country",2
"1137","tin pan alley",2
"1138","turkish instrumental",2
"1139","turkish jazz",2
"1140","turkish pop",2
"1141","turkish rock",2
"1142","uk americana",2
"1143","uk funky",2
"1144","uplifting trance",2
"1145","vermont indie",2
"1146","vintage french electronic",2
"1147","vocaloid",2
"1148","west end",2
"1149","witch house",2
"1150","acoustic blues",1
"1151","acoustic pop",1
"1152","african electronic",1
"1153","afro house",1
"1154","afro-funk",1
"1155","alternative pop",1
"1156","alternative pop rock",1
"1157","ambient house",1
"1158","american shoegaze",1
"1159","anarcho-punk",1
"1160","anime",1
"1161","appalachian folk",1
"1162","arab groove",1
"1163","arab pop",1
"1164","argentine alternative rock",1
"1165","argentine indie rock",1
"1166","argentine metal",1
"1167","asheville indie",1
"1168","asian american hip hop",1
"1169","australian country",1
"1170","australian post-punk",1
"1171","axe",1
"1172","baltic folk",1
"1173","bassline",1
"1174","battle rap",1
"1175","beach house",1
"1176","belly dance",1
"1177","bhangra",1
"1178","birmingham hip hop",1
"1179","black comedy",1
"1180","bluegrass gospel",1
"1181","bongo flava",1
"1182","boom bap",1
"1183","boston indie",1
"1184","brazilian experimental",1
"1185","brazilian indie rock",1
"1186","brazilian jazz",1
"1187","brazilian post-rock",1
"1188","brazilian reggae",1
"1189","brisbane indie",1
"1190","british experimental",1
"1191","bubble trance",1
"1192","canadian classical",1
"1193","canadian country",1
"1194","canadian folk",1
"1195","canadian hip hop",1
"1196","canadian soundtrack",1
"1197","celtic",1
"1198","chamame",1
"1199","chicago blues",1
"1200","christian hardcore",1
"1201","christmas instrumental",1
"1202","classic afrobeat",1
"1203","classic bhangra",1
"1204","classic dubstep",1
"1205","classic finnish rock",1
"1206","classic j-rock",1
"1207","classic psychedelic rock",1
"1208","classic russian pop",1
"1209","classical era",1
"1210","classify",1
"1211","columbus ohio indie",1
"1212","comedy",1
"1213","contemporary vocal jazz",1
"1214","contrabass",1
"1215","country pop",1
"1216","cowboy western",1
"1217","crust punk",1
"1218","dainuojamoji poezija",1
"1219","danish rock",1
"1220","danish techno",1
"1221","dark cabaret",1
"1222","dark electro",1
"1223","death metal",1
"1224","deep acoustic pop",1
"1225","deep german hip hop",1
"1226","deep minimal techno",1
"1227","deep tech house",1
"1228","denpa-kei",1
"1229","depressive black metal",1
"1230","desi pop",1
"1231","dinner jazz",1
"1232","disney",1
"1233","dixieland",1
"1234","drone folk",1
"1235","drone metal",1
"1236","dub",1
